#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
24.0,"Borberg, Evan 24 Borberg, Evan",88,82,6,0,1.0,1,10,1,7,0,View Bio
17.0,"Taylor, Zeke 17 Taylor, Zeke",34,32,2,0,1.0,0,0,0,0,0,View Bio
5.0,"King, Cooper 5 King, Cooper",33,33,0,0,1.0,4,0,0,0,0,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",22,22,0,0,1.0,0,0,0,0,0,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",21,9,12,0,1.0,0,0,0,0,0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",14,4,10,0,1.0,3,8,1,0,0,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",12,12,0,0,1.0,0,0,0,0,0,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",5,4,1,0,1.0,0,0,0,0,0,View Bio
32.0,"Witte, Josh 32 Witte, Josh",4,1,3,0,1.0,0,3,0,0,0,View Bio
20.0,"Bartusek, Seth 20 Bartusek, Seth",2,2,0,0,1.0,0,1,0,0,0,View Bio
8.0,"Lu, Nate 8 Lu, Nate",2,1,1,0,1.0,0,1,1,0,0,View Bio
16.0,"Lane, Simon 16 Lane, Simon",1,0,1,0,1.0,0,2,0,0,0,View Bio
22.0,"Lubelfeld, Daniel 22 Lubelfeld, Daniel",1,0,1,0,1.0,0,0,0,0,0,View Bio
31.0,"Jack, Ryan 31 Jack, Ryan",1,0,1,0,1.0,0,12,0,0,0,View Bio
46.0,"Porter, Luke 46 Porter, Luke",116,110,4,2,0.983,6,0,0,0,0,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",45,44,0,1,0.978,0,0,0,0,0,View Bio
12.0,"Williams, Justin 12 Williams, Justin",170,156,9,5,0.971,0,33,3,6,0,View Bio
6.0,"McNitt, Quinton 6 McNitt, Quinton",87,32,52,3,0.966,11,0,0,0,0,View Bio
25.0,"Brown, Ian 25 Brown, Ian",40,34,4,2,0.95,4,0,0,0,0,View Bio
36.0,"Booth, Jared 36 Booth, Jared",83,18,57,8,0.904,7,0,0,0,0,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",57,22,29,6,0.895,4,0,0,0,0,View Bio
13.0,"Chang, Ryan 13 Chang, Ryan",5,0,4,1,0.8,0,3,1,0,0,View Bio
15.0,"Jungers, Ryan 15 Jungers, Ryan",5,1,3,1,0.8,0,4,0,0,0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",16,5,5,6,0.625,0,0,0,0,0,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",8,0,5,3,0.625,0,0,0,0,0,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",5,0,3,2,0.6,0,3,0,0,0,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",0,0,0,0,0.0,0,0,0,0,0,View Bio
18.0,"Richman, Will 18 Richman, Will",0,0,0,0,0.0,0,1,0,0,0,View Bio
19.0,"Pine, Ezra 19 Pine, Ezra",0,0,0,0,0.0,0,1,0,0,0,View Bio
21.0,"Hodgman, Casey 21 Hodgman, Casey",0,0,0,0,0.0,0,0,0,0,0,View Bio
23.0,"Hull, Jake 23 Hull, Jake",0,0,0,0,0.0,0,1,0,0,0,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",0,0,0,0,0.0,0,0,0,0,0,View Bio
9.0,"Lavery, Alex 9 Lavery, Alex",0,0,0,0,0.0,0,1,1,0,0,View Bio
,Totals,877,624,213,40,0.954,14,84,8,13,0,
,Opponents,915,615,259,41,0.955,17,90,16,12,0,
