Statistic,High,Player,Opponent
PUTOUTS,17,Justin Williams,Knox College (4/24/2021)
ASSISTS,7,Quinton McNitt,Cornell College (5/5/2021)
ERRORS,3,Jonathan Gottlieb,Monmouth (Ill.) (5/1/2021); Cornell College (5/5/2021)
PASSED BALLS,3,Justin Williams,Monmouth (Ill.) (4/18/2021)
DPS TURNED,3,Jared Booth,Cornell College (5/13/2021)
