Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
4/17/2021,at,Illinois College,L,8-9,8.0,10,9,6,7,7,4,0,0,1,0,1,0,0,1,0,6.75
4/17/2021,at,Illinois College,L,11-15,8.0,12,15,6,8,7,4,1,1,0,0,1,0,0,2,0,6.75
4/18/2021,,Monmouth (Ill.),L,3-10,9.0,15,10,10,8,9,1,2,3,0,0,2,1,0,3,0,10.0
4/18/2021,,Monmouth (Ill.),W,16-13,9.0,17,13,13,5,9,2,1,4,1,0,3,0,1,3,0,13.0
4/24/2021,at,Knox College,W,11-2,9.0,11,2,2,1,14,2,0,0,0,0,1,0,2,3,0,2.0
4/24/2021,at,Knox College,W,11-4,9.0,6,4,2,5,17,1,0,0,1,1,0,0,3,3,0,2.0
4/25/2021,,Knox College,W,13-0,7.0,0,0,0,0,14,0,0,0,0,0,0,0,4,3,0,0.0
4/25/2021,,Knox College,W,4-3,9.0,6,3,3,3,13,3,0,0,0,1,0,0,5,3,0,3.0
5/1/2021,,Monmouth (Ill.),L,1-13,7.0,12,13,11,6,9,1,0,1,1,1,3,0,5,4,0,14.14
5/1/2021,,Monmouth (Ill.),L,12-16,9.0,12,16,15,6,14,0,1,1,1,0,4,0,5,5,0,15.0
5/2/2021,at,Monmouth (Ill.),L,0-5,8.0,8,5,5,0,8,2,1,0,0,0,0,0,5,6,0,5.63
5/2/2021,at,Monmouth (Ill.),W,9-7,10.0,10,7,7,7,13,1,1,0,3,0,2,1,6,6,0,6.3
5/5/2021,at,Cornell College,L,0-6,9.0,6,6,4,8,8,2,0,0,2,0,1,0,6,7,0,4.0
5/8/2021,at,Illinois College,L,4-5,8.0,6,5,4,5,3,1,0,1,1,0,3,0,6,8,0,4.5
5/8/2021,at,Illinois College,W,6-5,9.0,9,5,5,5,11,1,0,0,1,0,0,0,7,8,1,5.0
5/9/2021,,Illinois College,W,7-4,9.0,6,4,4,5,8,1,0,1,0,0,0,0,8,8,1,4.0
5/9/2021,,Illinois College,W,8-7,9.0,10,7,7,2,11,0,1,3,1,0,1,0,9,8,1,7.0
5/11/2021,at,Cornell College,W,10-8,9.0,14,8,7,4,6,3,0,0,2,0,0,0,10,8,1,7.0
5/13/2021,at,Cornell College,W,10-6,9.0,9,6,6,6,10,3,0,0,2,0,1,0,11,8,0,6.0
5/13/2021,at,Cornell College,W,15-4,8.0,7,4,4,1,2,1,0,1,0,0,2,0,12,8,0,4.5
5/15/2021,,Cornell College,W,7-6,9.0,12,6,5,6,7,3,0,1,1,0,3,0,13,8,0,5.0
5/15/2021,,Cornell College,W,7-2,9.0,8,2,2,2,11,0,0,1,0,0,1,0,14,8,0,2.0
5/16/2021,at,Knox College,W,9-2,9.0,7,2,2,4,6,0,0,0,0,1,1,0,15,8,0,2.0
5/16/2021,at,Knox College,W,10-3,9.0,5,3,3,5,18,1,0,0,3,0,2,0,16,8,0,3.0
Total,,,,192-155,208.0,218,155,133,109,235,37,8,18,21,4,32,2,16,8,4,
