Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
4/17/2021,at,Illinois College,L,8-9,37,8,13,8,0,0,0,3,0,0,2,3,0,0,2,8,24,8,3,0.351
4/17/2021,at,Illinois College,L,11-15,43,11,11,6,2,0,0,7,0,0,1,0,0,0,0,7,24,11,6,0.256
4/18/2021,,Monmouth (Ill.),L,3-10,38,3,9,1,2,0,1,0,0,2,0,0,0,0,0,7,27,10,1,0.237
4/18/2021,,Monmouth (Ill.),W,16-13,41,16,17,15,5,0,1,4,0,6,0,3,0,2,0,4,27,6,1,0.415
4/24/2021,at,Knox College,W,11-2,39,11,14,10,3,0,2,2,0,1,0,0,1,1,0,4,27,11,1,0.359
4/24/2021,at,Knox College,W,11-4,41,11,15,10,3,0,0,4,0,5,0,5,1,1,0,8,27,6,3,0.366
4/25/2021,,Knox College,W,13-0,34,13,18,12,1,1,0,3,0,5,0,1,0,0,1,3,21,4,0,0.529
4/25/2021,,Knox College,W,4-3,31,4,11,4,2,1,0,2,1,1,0,0,2,1,1,1,27,10,2,0.355
5/1/2021,,Monmouth (Ill.),L,1-13,26,1,5,1,0,0,0,3,0,1,0,1,0,0,1,4,21,6,2,0.192
5/1/2021,,Monmouth (Ill.),L,12-16,42,12,17,12,3,0,2,5,0,2,0,3,0,1,0,1,27,7,4,0.405
5/2/2021,at,Monmouth (Ill.),L,0-5,31,0,7,0,2,0,0,1,0,0,1,0,1,0,1,1,24,11,2,0.226
5/2/2021,at,Monmouth (Ill.),W,9-7,43,9,12,8,2,0,1,5,0,2,0,2,0,0,0,4,30,6,0,0.279
5/5/2021,at,Cornell College,L,0-6,31,0,3,0,1,0,0,0,0,0,0,1,0,0,0,10,27,12,5,0.097
5/8/2021,at,Illinois College,L,4-5,36,4,9,3,2,0,1,3,0,2,1,1,0,0,0,4,24,13,4,0.25
5/8/2021,at,Illinois College,W,6-5,32,6,8,5,1,0,1,4,0,1,0,3,2,0,0,7,27,11,0,0.25
5/9/2021,,Illinois College,W,7-4,37,7,14,7,3,0,1,0,0,0,0,2,1,0,0,8,27,9,0,0.378
5/9/2021,,Illinois College,W,8-7,34,8,13,8,2,0,1,3,0,2,0,1,1,2,0,4,27,4,0,0.382
5/11/2021,at,Cornell College,W,10-8,36,10,15,7,3,0,0,2,0,3,2,0,0,1,1,6,27,11,1,0.417
5/13/2021,at,Cornell College,W,10-6,36,10,10,10,2,0,2,4,0,2,0,3,1,0,1,7,27,6,2,0.278
5/13/2021,at,Cornell College,W,15-4,36,15,14,10,2,0,1,10,0,4,1,2,2,0,1,9,24,14,2,0.389
5/15/2021,,Cornell College,W,7-6,34,7,10,6,1,1,3,5,1,1,0,1,1,0,0,3,27,8,0,0.294
5/15/2021,,Cornell College,W,7-2,31,7,11,6,0,0,0,6,0,3,0,2,1,1,0,3,27,10,1,0.355
5/16/2021,at,Knox College,W,9-2,38,9,10,9,2,0,0,7,0,1,0,1,0,1,0,5,27,13,0,0.263
5/16/2021,at,Knox College,W,10-3,37,10,15,10,2,0,0,3,0,1,0,2,5,0,0,0,27,6,0,0.405
Total,,,,192-155,864,192,281,168,46,3,17,86,2,45,8,37,19,11,9,118,624,213,40,
