Statistic,High,Player,Opponent
INNINGS PITCHED,8.0,Brock Weirather; Ryan Chang,Illinois College (5/9/2021); Cornell College (5/13/2021)
RUNS ALLOWED,8.0,Ryan Jungers; Garrett Nasif,Monmouth (Ill.) (5/1/2021); Illinois College (4/17/2021)
EARNED RUNS,7.0,Ryan Jungers,Monmouth (Ill.) (5/1/2021)
WALKS ALLOWED,5.0,Ryan Jack,Illinois College (4/17/2021); Knox College (4/24/2021)
STRIKEOUTS,14.0,Brock Weirather; Ryan Jack,Knox College (4/25/2021); Knox College (5/16/2021)
HITS ALLOWED,10.0,Brock Weirather; Garrett Nasif; Ryan Jungers,Monmouth (Ill.) (4/18/2021); Cornell College (5/11/2021); Cornell College (5/15/2021); Knox College (4/24/2021)
DOUBLES ALLOWED,3.0,Brock Weirather,Cornell College (5/15/2021)
TRIPLES ALLOWED,2.0,Brock Weirather,Monmouth (Ill.) (4/18/2021)
HOME RUNS ALLOWED,2.0,Brock Weirather; Josh Witte,Monmouth (Ill.) (4/18/2021); Illinois College (5/9/2021)
WILD PITCHES,3.0,Ryan Jack,Knox College (5/16/2021)
HIT BATTERS,3.0,Brock Weirather,Cornell College (5/15/2021)
