Player,Longest,Current
"Booth, Jared",19,1
"Richardson, Sean",15,-
"McNitt, Quinton",11,11
"Weirather, Brock",9,9
"L'Esperance, Nate",7,5
"Taylor, Zeke",6,2
"Inaba, Matthew",5,2
"Porter, Luke",5,1
"King, Cooper",4,4
"Guieb, Riley",4,4
"Borberg, Evan",3,1
"Nasif, Garrett",2,2
"Williams, Justin",2,1
"Brown, Ian",2,2
"Gottlieb, Jonathan",2,1
"Hadding, Lucas",1,-
