#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
6.0,"McNitt, Quinton 6 McNitt, Quinton",0.394,0.989,24-24,99,29,39,6,0,1,15,48,0.485,12,10,13,2,0.504,0,1,2-2,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",0.376,0.939,24-24,93,26,35,7,0,0,15,42,0.452,16,4,13,1,0.487,0,5,14-17,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.358,1.019,24-24,109,27,39,10,2,5,27,68,0.624,4,4,11,2,0.395,2,0,9-9,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",0.35,0.942,24-24,100,22,35,6,1,3,25,52,0.52,12,2,7,0,0.422,2,0,1-1,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",0.31,0.721,22-19,71,13,22,2,0,0,12,24,0.338,8,1,11,0,0.383,1,0,3-4,View Bio
17.0,"Taylor, Zeke 17 Taylor, Zeke",0.281,0.765,19-15,57,15,16,2,0,2,12,24,0.421,5,1,7,0,0.344,1,7,4-6,View Bio
12.0,"Williams, Justin 12 Williams, Justin",0.2,0.539,18-16,50,6,10,0,0,0,9,10,0.2,4,7,6,0,0.339,1,0,2-2,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",0.409,0.992,14-10,44,8,18,3,0,1,13,24,0.545,1,2,9,0,0.447,0,0,4-5,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",0.37,0.921,15-8,27,6,10,1,0,0,7,11,0.407,7,1,3,0,0.514,0,3,0-0,View Bio
46.0,"Porter, Luke 46 Porter, Luke",0.323,0.859,16-15,62,9,20,6,0,1,13,29,0.468,4,3,14,1,0.391,0,0,0-0,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",0.306,0.76,15-15,62,16,19,0,0,2,9,25,0.403,6,0,4,1,0.357,2,1,4-5,View Bio
25.0,"Brown, Ian 25 Brown, Ian",0.269,0.577,9-5,26,2,7,1,0,0,3,8,0.308,0,0,5,1,0.269,0,0,1-1,View Bio
5.0,"King, Cooper 5 King, Cooper",0.261,0.718,9-7,23,2,6,2,0,0,2,8,0.348,4,0,4,0,0.37,0,1,0-0,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",0.25,0.5,7-1,4,4,1,0,0,0,1,1,0.25,0,0,0,0,0.25,0,0,0-0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",0.182,1.06,10-2,11,2,2,0,0,2,3,8,0.727,1,2,1,0,0.333,1,0,0-0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",0.154,0.354,9-5,13,0,2,0,0,0,2,2,0.154,1,0,5,0,0.2,1,1,1-1,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",0.0,0.1,6-2,9,0,0,0,0,0,0,0,0.0,1,0,2,1,0.1,0,0,0-0,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",0.0,0.0,8-1,4,3,0,0,0,0,0,0,0.0,0,0,3,0,0.0,0,0,0-0,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",0.0,0.0,2-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
21.0,"Hodgman, Casey 21 Hodgman, Casey",0.0,0.0,1-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.325,0.849,24-24,864,192,281,46,3,17,168,384,0.444,86,37,118,9,0.405,11,19,45-53,
,Opponents,0.265,0.763,24-24,824,155,218,37,8,18,132,325,0.394,109,32,235,10,0.369,9,15,42-46,
