Player,2,3,4,5+,Total
"Richardson, Sean",12,1,-,-,13
"Booth, Jared",8,3,1,-,12
"McNitt, Quinton",7,1,3,-,11
"Weirather, Brock",6,4,1,-,11
"Guieb, Riley",6,1,-,-,7
"Porter, Luke",5,2,-,-,7
"Inaba, Matthew",6,-,-,-,6
"L'Esperance, Nate",4,1,-,-,5
"Taylor, Zeke",3,-,-,-,3
"Borberg, Evan",3,-,-,-,3
"King, Cooper",2,-,-,-,2
"Williams, Justin",2,-,-,-,2
"Brown, Ian",1,-,-,-,1
TEAM,65,13,5,0,83
