0,1,2,3
Grinnell College,307,19,2nd
Hayden Somach,74,2,t-3rd
Thornton Walker,75,3,t-6th
Eshaan Sethi,77,5,t-16th
Luke McCann#,78,6,t-22nd
Brody Barton,81,9,t-39th
Kevin Carpenter#,84,12,t-53rd
Ian Strawn,86,14,t-57th
Lukas Roscoe#,88,16,t-60th
