0,1,2,3,4,5,6
Grinnell College,307,313,308,928,64,6th
Hayden Somach,77,72,79,228,12,t-9th
Eshaan Sethi,73,83,74,230,14,t-14th
Thornton Walker,74,80,77,231,15,t-18th
Ian Strawn,83,80,78,241,25,t-32nd
Luke McCann,91,81,90,262,46,45th
