0,1,2,3,4,5,6
Grinnell College,290,312,310,912,48.0,3rd
Thornton Walker,73,74,77,224,8.0,7th
Eshaan Sethi,69,80,76,225,9.0,8th
Ian Strawn,77,75,82,234,18.0,t-25th
Hayden Somach,71,86,79,236,20.0,t-27th
Luke McCann,77,83,78,238,22.0,t-30th
Kevin Carpenter#,79,82,78,239,23.0,t-32nd
Brody Barton#,79,89,wd,168,,
