0,1,2,3,4,5
Grinnell College,314,331,645,77,7th
Eshaan Sethi,77,77,154,12,t-19th
Ian Strawn#,76,78,154,12,t-19th
Hayden Somach,76,84,160,18,t-37th
Thornton Walker,78,86,164,22,t-43rd
Luke McCann,83,84,167,25,t-51st
Kevin Carpenter#,84,86,170,28,t-61st
Brody Barton,83,91,174,32,t-64th
