Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,16,22
Goals Per Game G/AVG,0.94,1.29
Shots SH,196,221
Shots Per Game SH/AVG,11.5,13.0
Shots Percentage SH%,0.082,0.100
Shots On Goal SOG,105-196,133-221
Shots On Goal Percentage SOG%,0.536,0.602
Penalties,Penalties,Penalties
Yellow Cards YC,8,8
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,11,17
Saves S,112,89
Fouls F,108,140
Corner Kicks CK,60,83
Penalty Kicks: Goals-Attempts PG-PA,1-2,2-3
