Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2015,at Wartburg College,L,1-2,(0-1-0),,250,TEAM (0)
9/5/2015,vs Simpson College,W,2-1,(1-1),,131,"Carolyn Silverman (0) (Nora Sahel , Kristen Stacey)  Jordan Maddaus (0) (Nora Sahel)"
9/11/2015,at Carleton College,L,0-1,(1-2-0),,316,
9/12/2015,at Augsburg College,L,0-4,(1-3-0),,364,
9/16/2015,vs Buena Vista,W,1-0,(2-3),,131,Carolyn Silverman (0) (Lilyrose Weiss)
9/19/2015,at Knox College,L,0-1,"(2-4, 0-1)",0-1,150,
9/23/2015,at Coe,L,0-1,"(2-5-0, 0-1 MWC)",0-1 MWC,345,
9/26/2015,vs Ripon,L,0-1,"(2-6, 0-2 MWC)",0-2 MWC,115,
10/3/2015,vs Lake Forest College,L,2-4,"(2-7, 0-3 MWC)",0-3 MWC,92,"Hurley, Lauren (0) Helverson, Annika (0)"
10/4/2015,vs Carroll (WI),L,0-2,"(2-8, 0-4 MWC)",0-4 MWC,121,
10/10/2015,vs Monmouth (IL),W,2-0,"(3-8, 1-4 MWC)",1-4 MWC,131,"Richards, Kitt (0) (Sahel, Nora)  Maddaus, Jordan (0)"
10/11/2015,at Cornell College,W,3-0,(4-8 (2-4 MWC)),,105,Nora Sahel (1) (Carolyn Silverman)  Carolyn Silverman (3) (Claire Ruegg)  Shaina Zarkin-Scott (1) (Elyse Salpekar)
10/17/2015,at Lawrence University,L,1-2,"(4-9-0, 2-5-0 MWC)",2-5-0 MWC,279,Hannah Truesdale (0)
10/18/2015,at St. Norbert College,L,0-1,"(4-10, 2-6 MWC)",2-6 MWC,225,
10/24/2015,at Illinois College,L,0-2,(4-11-0 (2-7-0 MWC)),,125,
10/28/2015,vs Wisconsin-Plattevill,W,2-0,(5-11),,52,"Silverman, Carolyn (0) (Sahel, Nora)  Silverman, Carolyn (0) (Semlow, Andie)"
10/31/2015,vs Beloit,W,2-0,(),,131,"Silverman, Carolyn (0) Weiss, Lilyrose (0) (Sahel, Nora)"
