#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
4.0,"Silverman, Carolyn 4Silverman, Carolyn",9,8,372,2,1,5,13,0.154,10,0.769,1-0,1,0-0,View Bio
9.0,"Sahel, Nora 9Sahel, Nora",10,10,592,1,2,4,25,0.04,11,0.44,2-0,1,0-0,View Bio
11.0,"Helverson, Annika 11Helverson, Annika",7,2,298,1,0,2,3,0.333,1,0.333,0-0,0,0-0,View Bio
3.0,"Hurley, Lauren 3Hurley, Lauren",8,0,389,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
16.0,"Maddaus, Jordan 16Maddaus, Jordan",9,0,263,1,0,2,2,0.5,2,1.0,0-0,0,0-0,View Bio
20.0,"Richards, Kitt 20Richards, Kitt",6,2,293,1,0,2,10,0.1,5,0.5,0-0,1,0-0,View Bio
5.0,"Truesdale, Hannah 5Truesdale, Hannah",8,2,271,1,0,2,7,0.143,6,0.857,0-0,0,1-1,View Bio
17.0,"Weiss, LilyRose 17Weiss, LilyRose",10,10,424,1,0,2,7,0.143,4,0.571,0-0,0,0-0,View Bio
10.0,"Zarkin-Scott, Shaina 10Zarkin-Scott, Shaina",10,6,371,1,0,2,9,0.111,4,0.444,1-0,0,0-0,View Bio
8.0,"Ruegg, Claire 8Ruegg, Claire",10,10,523,0,1,1,2,0.0,2,1.0,0-0,0,0-0,View Bio
12.0,"Salpekar, Elyse 12Salpekar, Elyse",3,0,64,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
19.0,"Barnard-Mayers, Ruby 19Barnard-Mayers, Ruby",2,0,3,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Baumann, Sasha 25Baumann, Sasha",10,10,766,0,0,0,2,0.0,2,1.0,0-0,0,0-0,View Bio
22.0,"Bresettebuccino, Nor 22Bresettebuccino, Nor",5,5,388,0,0,0,0,0.0,0,0.0,1-0,0,0-0,
22.0,"BresetteBuccino, Nora 22BresetteBuccino, Nora",5,5,365,0,0,0,5,0.0,1,0.2,0-0,0,0-0,View Bio
26.0,"Cardozo, Lila 26Cardozo, Lila",1,0,9,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
30.0,"Carr, Polly 30Carr, Polly",1,0,22,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
13.0,"Hellweg, Abigail 13Hellweg, Abigail",3,2,125,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Holtzman, Gwen 15Holtzman, Gwen",10,3,402,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Kasprak, Regan 18Kasprak, Regan",10,2,381,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",10,10,793,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27.0,"Ruvalcab, Denise 27Ruvalcab, Denise",1,0,5,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
24.0,"Semlow, Andie 24Semlow, Andie",10,7,577,0,0,0,7,0.0,2,0.286,0-0,0,0-0,View Bio
2.0,"Smith, Eva 2Smith, Eva",1,0,16,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
7.0,"Stacey, Kristen 7Stacey, Kristen",10,6,459,0,0,0,8,0.0,4,0.5,0-0,0,0-0,View Bio
23.0,"Thurman, Michellie 23Thurman, Michellie",10,6,587,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Torres, Juliet 6Torres, Juliet",2,0,23,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
14.0,"Varias, Francesca 14Varias, Francesca",4,4,200,0,0,0,5,0.0,2,0.4,0-0,0,0-0,View Bio
,Total,10,-,8981,10,5,25,114,0.088,58,0.509,8-0,3,1-1,
,Opponent,10,-,8848,13,8,34,114,0.114,65,0.57,8-0,7,1-1,
