#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
30.0,"Carr, Polly 30Carr, Polly",1,0,22:00,0,0.0,0,0.0,0.0,0.0,0.0,0,0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",10,10,882:27,13,1.33,65,0.833,3.0,7.0,0.0,3,107,View Bio
,Total,10,-,904:27,13,1.29,65,0.833,3.0,7.0,0.0,3,107,
,Opponents,10,-,904:27,10,1.0,50,0.833,,,,5,109,
