#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
30.0,"Carr, Polly 30Carr, Polly",1,0,22:00,0,0.0,0,0.0,0.0,0.0,0.0,0,0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",17,17,1544:34,22,1.28,124,0.849,6.0,11.0,0.0,5,212,View Bio
,Total,17,-,1566:34,22,1.26,124,0.849,6.0,11.0,0.0,5,212,
,Opponents,17,-,1566:34,16,0.92,91,0.85,,,,8,191,
