#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
4,"Silverman, Carolyn 4Silverman, Carolyn",15,14,709,6,1,13,33,0.182,21,0.636,2-0,3,0-0,View Bio
9,"Sahel, Nora 9Sahel, Nora",17,17,1035,1,5,7,33,0.03,18,0.545,2-0,1,0-1,View Bio
16,"Maddaus, Jordan 16Maddaus, Jordan",16,4,621,2,0,4,6,0.333,5,0.833,0-0,1,0-0,View Bio
17,"Weiss, LilyRose 17Weiss, LilyRose",17,13,740,1,1,3,11,0.091,7,0.636,0-0,0,0-0,View Bio
11,"Helverson, Annika 11Helverson, Annika",12,5,544,1,0,2,4,0.25,1,0.25,0-0,0,0-0,View Bio
3,"Hurley, Lauren 3Hurley, Lauren",13,2,596,1,0,2,3,0.333,2,0.667,0-0,0,0-0,View Bio
20,"Richards, Kitt 20Richards, Kitt",12,2,490,1,0,2,19,0.053,9,0.474,0-0,1,0-0,View Bio
5,"Truesdale, Hannah 5Truesdale, Hannah",15,4,619,1,0,2,10,0.1,6,0.6,0-0,0,1-1,View Bio
10,"Zarkin-Scott, Shaina 10Zarkin-Scott, Shaina",15,10,553,1,0,2,13,0.077,5,0.385,1-0,0,0-0,View Bio
8,"Ruegg, Claire 8Ruegg, Claire",17,16,886,0,1,1,3,0.0,2,0.667,0-0,0,0-0,View Bio
12,"Salpekar, Elyse 12Salpekar, Elyse",4,0,97,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
24,"Semlow, Andie 24Semlow, Andie",17,11,936,0,1,1,9,0.0,3,0.333,0-0,0,0-0,View Bio
7,"Stacey, Kristen 7Stacey, Kristen",17,8,788,0,1,1,13,0.0,6,0.462,0-0,0,0-0,View Bio
19,"Barnard-Mayers, Ruby 19Barnard-Mayers, Ruby",2,0,3,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25,"Baumann, Sasha 25Baumann, Sasha",17,12,1201,0,0,0,5,0.0,3,0.6,0-0,0,0-0,View Bio
22,"Bresettebuccino, Nor 22Bresettebuccino, Nor",6,6,478,0,0,0,0,0.0,0,0.0,1-0,0,0-0,
22,"BresetteBuccino, Nora 22BresetteBuccino, Nora",11,11,852,0,0,0,5,0.0,1,0.2,1-0,0,0-0,View Bio
26,"Cardozo, Lila 26Cardozo, Lila",1,0,9,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
30,"Carr, Polly 30Carr, Polly",1,0,22,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
13,"Hellweg, Abigail 13Hellweg, Abigail",9,7,640,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15,"Holtzman, Gwen 15Holtzman, Gwen",17,7,818,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
18,"Kasprak, Regan 18Kasprak, Regan",15,3,628,0,0,0,4,0.0,2,0.5,0-0,0,0-0,View Bio
1,"Oldach, Katy 1Oldach, Katy",17,17,1455,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27,"Ruvalcab, Denise 27Ruvalcab, Denise",1,0,5,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
2,"Smith, Eva 2Smith, Eva",7,2,215,0,0,0,6,0.0,4,0.667,0-0,0,0-0,View Bio
23,"Thurman, Michellie 23Thurman, Michellie",15,7,751,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
6,"Torres, Juliet 6Torres, Juliet",5,0,154,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
14,"Varias, Francesca 14Varias, Francesca",10,9,503,0,0,0,13,0.0,8,0.615,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,1,0.0,0-0,0,0-0,
,Total,17,-,16348,16,11,43,196,0.082,105,0.536,8-0,6,1-2,
,Opponent,17,-,16172,22,17,61,221,0.1,133,0.602,8-0,11,2-3,
