Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2015,at Wartburg College,1-2,1,0,2,7,0.143,3,0.429,0-0,0,0-0,1041
9/5/2015,vs Simpson College,2-1,2,3,7,13,0.154,7,0.538,0-0,1,0-1,1105
9/11/2015,at Carleton College,0-1,0,0,0,6,0.0,5,0.833,1-0,0,0-0,1012
9/12/2015,at Augsburg College,0-4,0,0,0,5,0.0,2,0.4,1-0,0,0-0,991
9/16/2015,vs Buena Vista,1-0,1,1,3,26,0.038,16,0.615,0-0,1,0-0,1239
9/19/2015,at Knox College,0-1,0,0,0,14,0.0,6,0.429,0-0,0,0-0,1073
9/23/2015,at Coe,0-1,0,0,0,9,0.0,2,0.222,0-0,0,0-0,990
9/26/2015,vs Ripon,0-1,0,0,0,9,0.0,4,0.444,0-0,0,0-0,935
10/3/2015,vs Lake Forest College,2-4,2,0,4,4,0.5,4,1.0,3-0,0,0-0,1008
10/4/2015,vs Carroll (WI),0-2,0,0,0,7,0.0,3,0.429,0-0,0,0-0,960
10/10/2015,vs Monmouth (IL),2-0,2,1,5,11,0.182,7,0.636,1-0,1,0-0,1053
10/11/2015,at Cornell College,3-0,3,3,9,22,0.136,11,0.5,0-0,1,0-0,957
10/17/2015,at Lawrence University,1-2,1,0,2,20,0.05,12,0.6,0-0,0,1-1,980
10/18/2015,at St. Norbert College,0-1,0,0,0,6,0.0,0,0.0,0-0,0,0-0,0
10/24/2015,at Illinois College,0-2,0,0,0,14,0.0,6,0.429,0-0,0,0-0,991
10/28/2015,vs Wisconsin-Plattevill,2-0,2,2,6,16,0.125,12,0.75,0-0,1,0-0,989
10/31/2015,vs Beloit,2-0,2,1,5,7,0.286,5,0.714,2-0,1,0-0,1024
Total,,16-22,16,11,43,196,0.082,105,0.536,8-0,6,1-2,16348
Opponent,,-,22,17,61,221,0.1,133,0.602,8-0,11,-,16172
