Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2015,at Wartburg College,1-2,1/2,0/0,7/31,3/15,1/10,0/0,0/0
9/5/2015,vs Simpson College,2-1,2/1,3/0,13/7,7/6,2/3,0/1,0/0
9/11/2015,at Carleton College,0-1,0/1,0/1,6/17,5/13,0/5,1/0,0/0
9/12/2015,at Augsburg College,0-4,0/4,0/6,5/21,2/13,2/6,1/0,0/0
9/16/2015,vs Buena Vista,1-0,1/0,1/0,26/5,16/4,8/2,0/0,0/0
9/19/2015,at Knox College,0-1,0/1,0/0,14/21,6/10,2/8,0/1,0/0
9/23/2015,at Coe,0-1,0/1,0/2,9/13,2/7,3/5,0/0,0/0
9/26/2015,vs Ripon,0-1,0/1,0/1,9/13,4/9,4/4,0/1,0/0
10/3/2015,vs Lake Forest College,2-4,2/4,0/4,4/13,4/10,7/7,3/3,0/0
10/4/2015,vs Carroll (WI),0-2,0/2,0/0,7/8,3/6,5/9,0/0,0/0
10/10/2015,vs Monmouth (IL),2-0,2/0,1/0,11/8,7/7,4/2,1/0,0/0
10/11/2015,at Cornell College,3-0,3/0,3/0,22/6,11/2,4/1,0/1,0/0
10/17/2015,at Lawrence University,1-2,1/2,0/0,20/13,12/10,5/1,0/1,0/0
10/18/2015,at St. Norbert College,0-1,0/1,0/1,6/19,0/0,0/7,0/0,0/0
10/24/2015,at Illinois College,0-2,0/2,0/2,14/7,6/6,7/5,0/0,0/0
10/28/2015,vs Wisconsin-Plattevill,2-0,2/0,2/0,16/13,12/10,4/6,0/0,0/0
10/31/2015,vs Beloit,2-0,2/0,1/0,7/6,5/5,2/2,2/0,0/0
Totals,,,16/22,11/17,196/221,105/133,60/83,8/8,0/0
