Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2015,Wartburg College,1-2,90:00,2,2.0,13,0.867,0,1,0,0,30
9/5/2015,Simpson College,2-1,101:17,1,1.41,5,0.833,1,0,0,0,7
9/11/2015,Carleton College,0-1,92:09,1,1.27,12,0.923,0,1,0,0,17
9/12/2015,Augsburg College,0-4,90:00,4,1.93,9,0.692,0,1,0,0,21
9/16/2015,Buena Vista,1-0,108:41,0,1.49,4,1.0,1,0,0,1,5
9/19/2015,Knox College,0-1,94:52,1,1.4,9,0.9,0,1,0,0,21
9/23/2015,Coe,0-1,90:00,1,1.35,6,0.857,0,1,0,0,13
9/26/2015,Ripon,0-1,90:00,1,1.31,8,0.889,0,1,0,0,13
10/3/2015,Lake Forest College,2-4,90:00,4,1.59,6,0.6,0,1,0,0,13
10/4/2015,Carroll (WI),0-2,90:00,2,1.63,4,0.667,0,1,0,0,8
10/10/2015,Monmouth (IL),2-0,90:00,0,1.49,7,1.0,1,0,0,1,8
10/11/2015,Cornell College,3-0,90:00,0,1.37,2,1.0,1,0,0,1,6
10/17/2015,Lawrence University,1-2,90:00,2,1.42,8,0.8,0,1,0,0,12
10/18/2015,St. Norbert College,0-1,90:00,1,1.39,12,0.923,0,1,0,0,13
10/24/2015,Illinois College,0-2,90:00,2,1.43,4,0.667,0,1,0,0,7
10/28/2015,Wisconsin-Plattevill,2-0,90:00,0,1.34,10,1.0,1,0,0,1,12
10/31/2015,Beloit,2-0,89:35,0,1.26,5,1.0,1,0,0,1,6
Totals,,-,1564,22,1.26,124,0.849,6,11,0,5,212
Opponent,,-,1566:34,16,0.92,92,0.852,11,6,0,8,191
