Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2015,Wartburg College,2-1,2,0,4,31,0.065,15,0.484,0-0,1,1-1,1045
9/5/2015,Simpson College,1-2,1,0,2,7,0.143,6,0.857,1-0,0,0-0,1083
9/11/2015,Carleton College,1-0,1,1,3,17,0.059,13,0.765,0-0,1,0-0,1013
9/12/2015,Augsburg College,4-0,4,6,14,21,0.19,13,0.619,0-0,1,0-0,953
9/16/2015,Buena Vista,0-1,0,0,0,5,0.0,4,0.8,0-0,0,0-0,1282
9/19/2015,Knox College,1-0,1,0,2,21,0.048,10,0.476,1-0,1,0-0,1038
9/23/2015,Coe,1-0,1,2,4,13,0.077,7,0.538,0-0,1,0-0,990
9/26/2015,Ripon,1-0,1,1,3,13,0.077,9,0.692,1-0,1,0-0,971
10/3/2015,Lake Forest College,4-2,4,4,12,13,0.308,10,0.769,3-0,1,0-0,971
10/4/2015,Carroll (WI),2-0,2,0,4,8,0.25,6,0.75,0-0,1,0-0,990
10/10/2015,Monmouth (IL),0-2,0,0,0,8,0.0,7,0.875,0-0,0,0-0,938
10/11/2015,Cornell College,0-3,0,0,0,6,0.0,2,0.333,1-0,0,0-0,972
10/17/2015,Lawrence University,2-1,2,0,4,13,0.154,10,0.769,1-0,1,1-1,990
10/18/2015,St. Norbert College,1-0,1,1,3,19,0.053,0,0.0,0-0,1,0-0,0
10/24/2015,Illinois College,2-0,2,2,6,7,0.286,6,0.857,0-0,1,0-0,990
10/28/2015,Wisconsin-Plattevill,0-2,0,0,0,13,0.0,10,0.769,0-0,0,0-1,958
10/31/2015,Beloit,0-2,0,0,0,6,0.0,5,0.833,0-0,0,0-0,988
Total,,22-16,22,17,61,221,0.1,133,0.602,8-0,11,2-3,16172
Grinnell College,,-,16,11,43,196,0.082,105,0.536,8-0,6,-,16348
