#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
18.0,"Wheeler, Darice 18 Wheeler, Darice",0.586,1.843,19-19,58,26,34,8,1,8,38,68,1.172,16,1,2,0,0.671,1,0,6-6,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.5,1.0,4-0,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0-0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.5,1.25,11-0,2,4,1,0,0,0,0,1,0.5,2,0,1,0,0.75,0,0,0-0,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.405,0.971,19-19,74,26,30,3,1,1,16,38,0.514,5,2,3,0,0.457,0,0,1-2,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",0.39,1.056,19-19,59,25,23,6,3,0,15,35,0.593,8,0,2,1,0.463,0,6,4-4,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",0.375,0.75,6-0,8,0,3,0,0,0,0,3,0.375,0,0,1,0,0.375,0,0,0-0,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.367,1.084,19-19,49,17,18,5,0,2,9,29,0.592,9,3,3,1,0.492,0,1,0-0,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",0.357,0.978,19-19,56,3,20,8,0,1,22,31,0.554,8,0,4,0,0.424,2,0,0-0,View Bio
15.0,"Davis, Mya 15 Davis, Mya",0.339,0.909,19-18,56,3,19,6,0,1,16,28,0.5,8,0,8,0,0.409,2,0,0-1,View Bio
14.0,"Hoffman, Haley 14 Hoffman, Haley",0.333,0.666,4-0,3,0,1,0,0,0,2,1,0.333,0,0,1,0,0.333,0,0,0-0,View Bio
16.0,"Eiden, Kaylie 16 Eiden, Kaylie",0.333,0.666,4-0,3,0,1,0,0,0,0,1,0.333,0,0,0,0,0.333,0,0,0-0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.325,0.699,17-9,40,8,13,1,0,0,6,14,0.35,2,0,3,0,0.349,1,2,0-0,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.279,0.605,19-18,43,7,12,2,0,0,3,14,0.326,0,0,7,0,0.279,0,1,0-0,View Bio
10.0,"Murphy, Mikyla 10 Murphy, Mikyla",0.273,0.651,18-1,22,2,6,1,0,0,2,7,0.318,1,1,1,0,0.333,0,0,0-0,View Bio
11.0,"Litke, Sidney 11 Litke, Sidney",0.267,0.717,19-16,15,10,4,0,0,0,1,4,0.267,5,0,2,0,0.45,0,1,0-0,View Bio
7.0,"Jordan, Emily 7 Jordan, Emily",0.213,0.622,19-19,47,10,10,1,1,0,4,13,0.277,6,4,14,0,0.345,1,0,0-0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.167,0.564,17-14,12,2,2,2,0,0,2,4,0.333,1,0,3,0,0.231,0,1,0-1,View Bio
12.0,"Mahnke, Abbey 12 Mahnke, Abbey",0.0,0.333,3-0,2,0,0,0,0,0,0,0,0.0,1,0,1,0,0.333,0,0,0-0,View Bio
,Totals,0.359,0.968,19-19,551,143,198,43,6,13,136,292,0.53,72,11,56,2,0.438,7,12,11-14,
,Opponents,0.292,0.742,19-19,504,79,147,24,2,7,67,196,0.389,47,5,69,1,0.353,7,22,29-34,
