Player,2,3,4,5+,Total
"Wheeler, Darice",4,7,2,3,16
"Johnson, Flynn",4,3,2,-,9
"Morrissey, Kayla",5,-,1,1,7
"Davis, Mya",1,2,2,-,5
"Bishop-Parise, Leila",1,2,1,-,4
"Jordan, Emily",1,1,1,-,3
"Wehrenberg, Ashley",3,-,-,-,3
"Leff, Andi",1,1,-,-,2
"Litke, Sidney",1,-,-,-,1
"Hoffman, Haley",1,-,-,-,1
TEAM,22,16,9,4,51
