#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
17.0,"Remus, Maggie 17 Remus, Maggie",2.99,1.46,7-4,13-11,4,1-1,0,70.1,93,44,30,10,23,14,1,4,299,0.311,1,0,0,3,9,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",3.73,1.44,6-5,20-12,5,0-2,1,71.1,88,45,38,15,22,22,1,4,302,0.291,1,2,0,3,10,View Bio
18.0,"Wheeler, Darice 18 Wheeler, Darice",3.9,1.69,11-5,25-15,10,0-1,1,106.0,121,84,59,58,80,21,2,3,421,0.287,17,6,0,8,22,View Bio
,Totals,3.59,1.56,24-14,58-38,19,3,2,247.2,302,173,127,83,125,57,4,11,1022,0.295,19,8,0,14,41,
,Opponents,6.28,2.06,14-24,66-38,17,1,2,243.0,361,256,218,140,136,76,11,32,1071,0.337,24,16,0,10,28,
