Statistic,High,Opponent
PUTOUTS,27,Oberlin College (3/22/2018)
ASSISTS,17,Cornell College (4/24/2018)
ERRORS,4,Cornell College (4/24/2018); Cornell College (4/24/2018); Ripon College (4/29/2018); Illinois College (5/4/2018)
PASSED BALLS,3,Illinois College (5/4/2018)
DPS TURNED,2,Carroll University (3/19/2018); Beloit College (4/17/2018)
