Player,2,3,4,5+,Total
"Wheeler, Darice",7,8,2,-,17
"Johnson, Flynn",14,2,-,-,16
"Morrissey, Kayla",5,7,2,-,14
"Leff, Andi",9,1,-,-,10
"Bishop-Parise, Leila",8,2,-,-,10
"Davis, Mya",2,4,-,-,6
"Jordan, Emily",4,-,1,-,5
"Wehrenberg, Ashley",4,1,-,-,5
"Remus, Maggie",2,1,-,-,3
"Murphy, Mikyla",1,1,-,-,2
"Litke, Sidney",1,-,-,-,1
"Gardner, Megan",1,-,-,-,1
TEAM,58,27,5,0,90
