#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
18.0,"Wheeler, Darice 18 Wheeler, Darice",0.5,1.688,38-38,118,49,59,14,1,18,63,129,1.093,27,2,5,0,0.595,1,0,9-10,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.404,1.032,38-38,141,47,57,12,4,1,30,80,0.567,12,4,6,0,0.465,0,0,9-10,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",0.381,1.026,38-37,113,12,43,11,1,3,36,65,0.575,17,0,10,0,0.451,3,0,1-1,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",0.353,0.911,38-38,116,35,41,8,4,0,27,57,0.491,14,0,8,1,0.42,1,11,5-6,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.326,0.962,38-38,95,29,31,7,0,3,15,47,0.495,22,3,10,1,0.467,0,5,0-0,View Bio
15.0,"Davis, Mya 15 Davis, Mya",0.31,0.935,30-26,84,7,26,6,0,5,25,47,0.56,10,0,14,0,0.375,2,0,0-1,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.298,0.667,38-36,94,16,28,4,0,0,12,32,0.34,4,0,11,2,0.327,0,2,0-0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.279,0.592,31-16,61,9,17,1,0,0,7,18,0.295,2,0,6,0,0.297,1,4,0-0,View Bio
7.0,"Jordan, Emily 7 Jordan, Emily",0.269,0.739,36-36,93,19,25,4,1,1,14,34,0.366,11,5,23,0,0.373,1,0,1-2,View Bio
14.0,"Hoffman, Haley 14 Hoffman, Haley",0.4,0.8,6-0,5,0,2,0,0,0,2,2,0.4,0,0,2,0,0.4,0,0,0-0,View Bio
10.0,"Murphy, Mikyla 10 Murphy, Mikyla",0.268,0.703,36-13,56,5,15,6,0,0,3,21,0.375,3,2,9,0,0.328,0,1,1-1,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",0.263,0.526,15-2,19,0,5,0,0,0,1,5,0.263,0,0,6,0,0.263,0,0,0-0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.25,0.5,10-0,4,0,1,0,0,0,0,1,0.25,0,0,1,0,0.25,0,2,0-0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.2,0.7,22-0,5,8,1,0,0,0,0,1,0.2,3,0,4,0,0.5,0,0,0-0,View Bio
16.0,"Eiden, Kaylie 16 Eiden, Kaylie",0.167,0.334,7-0,6,0,1,0,0,0,0,1,0.167,0,0,2,0,0.167,0,0,0-0,View Bio
11.0,"Litke, Sidney 11 Litke, Sidney",0.161,0.591,38-35,31,13,5,0,0,1,3,8,0.258,8,0,7,1,0.333,0,2,1-1,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.148,0.553,35-27,27,7,4,3,0,0,4,7,0.259,6,0,11,0,0.294,1,1,0-1,View Bio
12.0,"Mahnke, Abbey 12 Mahnke, Abbey",0.0,0.25,4-0,3,0,0,0,0,0,0,0,0.0,1,0,1,0,0.25,0,0,0-0,View Bio
,Totals,0.337,0.936,38-38,1071,256,361,76,11,32,242,555,0.518,140,16,136,5,0.418,10,28,27-33,
,Opponents,0.295,0.74,38-38,1022,173,302,57,4,11,154,400,0.391,83,8,125,3,0.349,14,41,58-65,
