#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
11.0,"Litke, Sidney 11 Litke, Sidney",16,16,0,0,1.0,0,0,0,0,0,View Bio
16.0,"Eiden, Kaylie 16 Eiden, Kaylie",7,6,1,0,1.0,0,1,0,1,0,View Bio
15.0,"Davis, Mya 15 Davis, Mya",2,2,0,0,1.0,0,0,0,0,0,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",2,2,0,0,1.0,0,0,0,0,0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",2,2,0,0,1.0,0,0,0,0,0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",1,1,0,0,1.0,0,0,0,0,0,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",128,118,8,2,0.984,3,0,0,0,0,View Bio
18.0,"Wheeler, Darice 18 Wheeler, Darice",59,24,32,3,0.949,1,20,3,0,0,View Bio
7.0,"Jordan, Emily 7 Jordan, Emily",76,62,10,4,0.947,0,28,5,2,1,View Bio
5.0,"Leff, Andi 5 Leff, Andi",18,17,0,1,0.944,0,0,0,0,0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",47,37,7,3,0.936,1,4,1,0,0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",47,19,25,3,0.936,1,5,1,0,0,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",58,19,35,4,0.931,0,0,0,0,0,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",31,27,1,3,0.903,0,0,0,0,0,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",64,20,37,7,0.891,1,0,0,0,0,View Bio
14.0,"Hoffman, Haley 14 Hoffman, Haley",2,0,1,1,0.5,0,0,0,0,0,View Bio
10.0,"Murphy, Mikyla 10 Murphy, Mikyla",0,0,0,0,0.0,0,0,0,0,0,View Bio
12.0,"Mahnke, Abbey 12 Mahnke, Abbey",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,560,372,157,31,0.945,7,58,10,3,1,
,Opponents,527,362,143,22,0.958,8,22,6,10,0,
