Statistic,High,Opponent
AT BATS,40,Knox College (4/11/2018)
RUNS SCORED,19,Beloit College (4/17/2018)
HITS,20,Knox College (4/11/2018)
RBIS,19,Beloit College (4/17/2018)
DOUBLES,5,Knox College (4/11/2018); Beloit College (4/17/2018)
TRIPLES,2,Oberlin College (3/22/2018); Beloit College (4/17/2018)
HOME RUNS,4,Simpson College (3/27/2018); Farmingdale State (3/19/2018)
WALKS,9,Beloit College (4/17/2018)
STRIKEOUTS,10,Oberlin College (3/22/2018); Monmouth College (4/19/2018)
SAC HITS,3,Wartburg College (5/1/2108); Central College (3/28/2018)
SAC FLIES,2,Ripon College (4/29/2018)
STOLEN BASES,4,Ripon College (4/29/2018)
HIT BY PITCH,4,Ripon College (4/29/2018)
CAUGHT STEALING,1,St. Norbert College (4/21/2018); Lawrence University (4/22/2018); Wartburg College (5/1/2018); Worcester State (3/20/2018); Kalamazoo College (3/23/2018)
HIT INTO DP,2,Carroll University (3/19/2018)
