Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 26, 2024 (Monday)",7:00 PM,Away,Wartburg,"Waverly, IA",,,,
"August 31, 2024 (Saturday)",1:00 PM,Home,Mount Mary,"Mount Vernon, IA/Cornell Soccer Field",,,"W,11-0",Box ScoreRecap
"September 6, 2024 (Friday)",7:00 PM,Away,Nebraska Wesleyan,"Lincoln, NE",,,"L,0-5",Box ScoreRecap
"September 7, 2024 (Saturday)",3:00 PM,Neutral,Concordia (Minn.),"Lincoln, NE",,,"L,0-7",Box ScoreRecap
"September 13, 2024 (Friday)",4:00 PM,Home,Edgewood,"Mount Vernon, IA/Cornell Soccer Field",,,"L,2-4",Box ScoreRecap
"September 15, 2024 (Sunday)",2:00 PM,Home,Marian,"Mount Vernon, IA/Cornell Soccer Field",,,"L,2-5",Box ScoreRecap
"September 18, 2024 (Wednesday)",7:00 PM,Away,Coe,"Cedar Rapids, IA",,,"L,1-2",Box ScoreRecap
"September 21, 2024 (Saturday)",1:00 PM,Away,Augustana,"Rock Island, IL",,,"L,0-7",Box ScoreRecap
"September 26, 2024 (Thursday)",5:30 PM,Away,Elmhurst,"Elmhurst, IL",,,"L,0-2",Box ScoreRecap
"September 28, 2024 (Saturday)",1:30 PM,Home,Beloit,"Mount Vernon, IA/Cornell Soccer Field",,,"L,1-4",Box ScoreRecap
"October 5, 2024 (Saturday)",6:30 PM,Away,Lawrence,"Appleton, WI",,,"L,0-3",Box ScoreRecap
"October 8, 2024 (Tuesday)",4:00 PM,Home,Monmouth,"Mount Vernon, IA/Cornell Soccer Field",,,"L,0-2",Box ScoreRecap
"October 16, 2024 (Wednesday)",4:00 PM,Home,North Central (MN),"Mount Vernon, IA/Cornell Soccer Field",,,Canceled,
"October 19, 2024 (Saturday)",1:30 PM,Home,Ripon,"Mount Vernon, IA/Cornell Soccer Field",,,"W,1-0",Box ScoreRecap
"October 22, 2024 (Tuesday)",4:00 PM,Away,Grinnell,"Grinnell, IA",,,"L,0-5",Box ScoreRecap
"October 28, 2024 (Monday)",4:00 PM,Away,Knox,"Galesburg, IL",,,"T,0-0",Box ScoreRecap
"October 30, 2024 (Wednesday)",4:00 PM,Home,Illinois College,"Mount Vernon, IA/Cornell Soccer Field",,,Postponed,
"October 31, 2024 (Thursday)",4:00 PM,Home,Illinois College,"Mount Vernon, IA/Cornell Soccer Field",,,"L,1-3",Box ScoreRecap
"November 2, 2024 (Saturday)",1:30 PM,Away,Lake Forest,"Lake Forest, IL",,,"L,0-7",Box ScoreRecap
