Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#45 Cullinane, Sean",24,88,173,0.509,3.7,7.2
"#21 Kogelnik, Hannes",24,87,266,0.327,3.6,11.1
"#13 Johnson, Ky-Sean",23,55,171,0.322,2.4,7.4
"#05 Curta, Vinny",24,47,155,0.303,2.0,6.5
"#35 Ekstrand, Jacob",24,32,117,0.274,1.3,4.9
"#10 Gulve, Anthony",20,26,72,0.361,1.3,3.6
"#02 Phillip, Ikaika",24,20,50,0.4,0.8,2.1
"#12 Balcom, Nathan",24,15,43,0.349,0.6,1.8
"#22 Grumhaus, Tyler",23,15,37,0.405,0.7,1.6
"#33 Walser, Morgan",24,10,31,0.323,0.4,1.3
"#11 King, Gus",18,9,26,0.346,0.5,1.4
"#03 Breshears, Jackson",24,5,21,0.238,0.2,0.9
"#15 Jacobson, Noah",23,5,13,0.385,0.2,0.6
"#44 Geiman, Brad",24,3,4,0.75,0.1,0.2
"#11 Leder, Jacob",9,2,4,0.5,0.2,0.4
"#04 Boehm, Griffin",24,1,6,0.167,0.0,0.3
"#25 Gulve, Anthony",5,1,3,0.333,0.2,0.6
"#23 Dubow, Will",24,0,1,0.0,0.0,0.0
"#24 Redhead, Andrew",20,0,6,0.0,0.0,0.3
