Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Emmaus,11/15/17,153-100,53,54-106/35-80,.509/.438,25-64/7-23,.391/.304,20-34/23-29,.588-.793,58/52 6,33/14,18/35,4/1,16/7,26/26
Wright State-Lake,11/17/17,128-95,33,44-89/42-77,.494/.545,14-40/6-11,.350/.545,26-36/5-11,.722-.455,48/41 7,19/27,22/35,3/5,17/15,17/27
Lincoln Christian,11/18/17,153-115,38,53-102/42-74,.520/.568,30-73/10-25,.411/.400,17-30/21-31,.567-.677,46/49 -3,36/25,11/27,0/1,18/6,23/24
Central,11/21/17,119-93,26,31-73/38-82,.425/.463,15-41/3-11,.366/.273,42-50/14-26,.840-.538,43/55 -12,14/21,18/31,7/0,14/10,24/33
Kansas Christian College,11/25/17,147-106,41,51-107/43-83,.477/.518,17-57/4-11,.298/.364,28-42/16-27,.667-.593,63/50 13,22/23,28/44,2/2,21/19,22/34
Beloit College Men's BBALL,12/01/17,102-84,18,34-80/36-64,.425/.563,15-39/4-8,.385/.500,19-24/8-15,.792-.533,32/48 -16,15/21,11/34,1/3,18/11,16/25
Lake Forest,12/02/17,91-104,-13,30-80/39-64,.375/.609,13-50/14-26,.260/.538,18-24/12-18,.750-.667,40/43 -3,11/27,15/24,1/1,12/9,22/20
Cornell College,12/06/17,111-114,-3,36-87/41-62,.414/.661,15-52/4-11,.288/.364,24-31/28-36,.774-.778,33/47 -14,13/25,11/28,3/5,13/6,28/24
Lawrence,12/09/17,137-99,38,41-88/36-63,.466/.571,22-55/6-12,.400/.500,33-44/21-32,.750-.656,50/37 13,18/15,18/30,4/1,15/12,23/35
Nebraska Wesleyan,12/30/17,103-121,-18,33-97/45-83,.340/.542,12-46/7-18,.261/.389,25-40/24-36,.625-.667,56/64 -8,11/28,19/24,5/7,10/15,26/35
Ripon,01/03/18,95-81,14,30-71/32-59,.423/.542,20-49/8-19,.408/.421,15-23/9-17,.652-.529,33/44 -11,22/28,11/24,4/2,10/7,16/16
St. Norbert College,01/06/18,85-97,-12,25-66/31-49,.379/.633,19-50/4-10,.380/.400,16-20/31-36,.800-.861,21/44 -23,14/19,17/26,1/5,17/4,29/20
Lake Forest,01/12/18,107-93,14,31-73/38-65,.425/.585,15-48/10-26,.313/.385,30-43/7-12,.698-.583,41/33 8,22/29,13/25,2/2,9/5,17/29
Beloit,01/13/18,106-98,8,34-78/43-68,.436/.632,19-53/5-9,.358/.556,19-23/7-11,.826-.636,33/41 -8,20/31,20/31,1/1,19/15,16/24
Monmouth (IL),01/17/18,79-84,-5,28-68/26-53,.412/.491,8-30/1-2,.267/.500,15-21/31-37,.714-.838,28/44 -16,15/14,14/23,5/6,8/8,28/19
Ripon College,01/20/18,105-113,-8,34-80/39-69,.425/.565,20-53/4-15,.377/.267,17-23/31-37,.739-.838,39/42 -3,21/25,18/18,2/3,11/12,29/22
Cornell College,01/24/18,104-100,4,33-74/34-62,.446/.548,19-46/7-16,.413/.438,19-29/25-35,.655-.714,29/46 -17,18/21,18/32,1/2,11/8,26/19
Lawrence University,01/27/18,99-106,-7,35-98/39-65,.357/.600,10-49/7-15,.204/.467,19-31/21-29,.613-.724,50/46 4,8/20,14/24,4/3,10/7,23/27
Monmouth (IL),01/30/18,92-107,-15,34-84/41-62,.405/.661,13-43/0-1,.302/.000,11-12/25-35,.917-.714,22/53 -31,12/33,12/24,7/6,14/10,25/18
Illinois College,02/03/18,129-105,24,39-87/37-61,.448/.607,24-58/5-13,.414/.385,27-35/26-36,.771-.722,36/45 -9,24/27,13/31,3/3,15/8,29/27
Knox College,02/07/18,93-107,-14,27-69/41-62,.391/.661,16-47/0-1,.340/.000,23-28/25-30,.821-.833,25/44 -19,16/32,21/28,8/3,12/9,26/26
Saint Norbert,02/10/18,94-104,-10,28-75/37-66,.373/.561,18-50/0-1,.360/.000,20-27/30-46,.741-.652,27/62 -35,18/17,13/22,1/4,8/4,33/24
Knox,02/13/18,115-90,25,35-82/38-66,.427/.576,20-51/2-4,.392/.500,25-29/12-17,.862-.706,36/46 -10,21/20,17/32,5/1,20/6,21/24
Illinois College,02/17/18,117-120,-3,37-83/46-78,.446/.590,22-55/11-24,.400/.458,21-26/17-21,.808-.810,41/39 2,23/29,20/19,7/1,12/10,25/21
