Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#04 Boehm, Griffin",24,121,5.0,67,2.8,54,2.3
#TM Team,24,105,4.4,64,2.7,41,1.7
"#35 Ekstrand, Jacob",24,98,4.1,27,1.1,71,3.0
"#05 Curta, Vinny",24,81,3.4,28,1.2,53,2.2
"#44 Geiman, Brad",24,69,2.9,27,1.1,42,1.8
"#02 Phillip, Ikaika",24,58,2.4,23,1.0,35,1.5
"#21 Kogelnik, Hannes",24,49,2.0,25,1.0,24,1.0
"#23 Dubow, Will",24,46,1.9,15,0.6,31,1.3
"#45 Cullinane, Sean",24,42,1.8,17,0.7,25,1.0
"#12 Balcom, Nathan",24,35,1.5,24,1.0,11,0.5
"#33 Walser, Morgan",24,29,1.2,10,0.4,19,0.8
"#13 Johnson, Ky-Sean",23,28,1.2,11,0.5,17,0.7
"#42 Keller, Dawson",23,27,1.2,14,0.6,13,0.6
"#22 Grumhaus, Tyler",23,25,1.1,15,0.7,10,0.4
"#03 Breshears, Jackson",24,24,1.0,15,0.6,9,0.4
"#24 Redhead, Andrew",20,24,1.2,11,0.6,13,0.7
"#10 Gulve, Anthony",20,22,1.1,15,0.8,7,0.4
"#15 Jacobson, Noah",23,14,0.6,6,0.3,8,0.3
"#11 King, Gus",18,11,0.6,8,0.4,3,0.2
"#54 Mickus, Alex",6,6,1.0,2,0.3,4,0.7
"#54 Smith, Tommy",6,6,1.0,2,0.3,4,0.7
"#25 Conran, Jake",7,4,0.6,1,0.1,3,0.4
"#11 Leder, Jacob",9,4,0.4,3,0.3,1,0.1
"#25 Gulve, Anthony",5,2,0.4,0,0.0,2,0.4
