#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
5.0,"Curta, Vinny 05 Curta, Vinny",24,19.3,0.489,0.303,0.766,1.2,2.2,3.4,4.9,2.3,0.4,32.7
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,15.6,0.395,0.322,0.743,0.5,0.7,1.2,1.8,1.4,0.0,15.9
21.0,"Kogelnik, Hannes 21 Kogelnik, Hannes",24,16.8,0.345,0.327,0.8,1.0,1.0,2.0,2.1,1.0,0.3,14.3
45.0,"Cullinane, Sean 45 Cullinane, Sean",24,16.9,0.503,0.509,0.813,0.7,1.0,1.8,0.8,0.6,0.0,11.7
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",24,15.2,0.32,0.274,0.68,1.1,3.0,4.1,0.7,1.3,0.2,6.0
2.0,"Phillip, Ikaika 02 Phillip, Ikaika",24,13.5,0.459,0.4,0.763,1.0,1.5,2.4,1.5,0.8,0.2,5.3
10.0,"Gulve, Anthony 10 Gulve, Anthony",20,10.6,0.357,0.361,0.818,0.8,0.4,1.1,0.9,0.3,0.0,5.3
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",23,10.7,0.471,0.405,0.806,0.7,0.4,1.1,0.8,0.8,0.0,4.6
12.0,"Balcom, Nathan 12 Balcom, Nathan",24,13.1,0.406,0.349,0.667,1.0,0.5,1.5,1.6,0.8,0.0,3.4
44.0,"Geiman, Brad 44 Geiman, Brad",24,11.4,0.658,0.75,0.353,1.1,1.8,2.9,0.4,0.5,1.1,2.5
33.0,"Walser, Morgan 33 Walser, Morgan",24,8.5,0.404,0.323,0.667,0.4,0.8,1.2,0.8,0.5,0.0,2.1
4.0,"Boehm, Griffin 04 Boehm, Griffin",24,14.8,0.625,0.167,0.464,2.8,2.3,5.0,0.9,0.8,0.2,2.7
11.0,"King, Gus 11 King, Gus",18,9.0,0.393,0.346,0.8,0.4,0.2,0.6,0.3,0.7,0.1,1.9
24.0,"Redhead, Andrew 24 Redhead, Andrew",20,7.3,0.5,0.0,0.667,0.6,0.7,1.2,0.4,0.4,0.0,1.2
3.0,"Breshears, Jackson 03 Breshears, Jackson",24,6.3,0.292,0.238,0.364,0.6,0.4,1.0,0.3,0.3,0.0,1.0
15.0,"Jacobson, Noah 15 Jacobson, Noah",23,4.8,0.391,0.385,0.75,0.3,0.3,0.6,0.1,0.3,0.0,1.1
11.0,"Leder, Jacob 11 Leder, Jacob",9,3.7,0.5,0.5,0.5,0.3,0.1,0.4,0.0,0.2,0.0,1.3
54.0,"Smith, Tommy 54 Smith, Tommy",6,2.8,0.0,0.0,0.0,0.3,0.7,1.0,0.0,0.2,0.2,0.0
25.0,"Conran, Jake 25 Conran, Jake",7,2.0,0.0,0.0,0.0,0.1,0.4,0.6,0.1,0.1,0.0,0.0
23.0,"Dubow, Will 23 Dubow, Will",24,5.8,0.438,0.0,1.0,0.6,1.3,1.9,0.5,0.8,0.7,0.7
25.0,"Gulve, Anthony 25 Gulve, Anthony",5,3.6,0.333,0.333,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.6
10.0,"Jones, Derek 10 Jones, Derek",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,"Keller, Dawson 42 Keller, Dawson",23,4.3,0.857,0.0,0.571,0.6,0.6,1.2,0.0,0.2,0.3,0.7
54.0,"Mickus, Alex 54 Mickus, Alex",6,2.5,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.2,0.0,0.0
,Total,24,201.0,0.429,0.351,0.73,17.9,20.8,38.8,18.6,13.8,3.4,111.0
,Opponents,24,201.0,0.568,0.413,0.711,12.8,33.7,46.5,23.8,9.3,2.8,101.5
