#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
05,"Curta, Vinny 05 Curta, Vinny",18,17.0,356,19.8,171,368,0.465,43,130,0.331,163,211,0.773,548,30.4,20,42,62,3.4,55,88,4.9,67,40,8,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",17,2.0,265,15.6,71,195,0.364,37,123,0.301,60,75,0.8,239,14.1,6,10,16,0.9,34,29,1.7,31,23,0,View Bio
21,"Kogelnik, Hannes 21 Kogelnik, Hannes",18,1.0,298,16.6,76,227,0.335,59,189,0.312,30,34,0.882,241,13.4,11,16,27,1.5,16,29,1.6,35,15,4,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",18,14.0,318,17.7,63,129,0.488,62,125,0.496,11,14,0.786,199,11.1,13,14,27,1.5,13,14,0.8,14,10,0,View Bio
02,"Phillip, Ikaika 02 Phillip, Ikaika",18,12.0,242,13.4,30,68,0.441,16,40,0.4,22,30,0.733,98,5.4,16,22,38,2.1,22,22,1.2,14,13,4,View Bio
10,"Gulve, Anthony 10 Gulve, Anthony",17,3.0,187,11.0,31,79,0.392,22,58,0.379,9,11,0.818,93,5.5,11,7,18,1.1,18,14,0.8,9,6,0,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",18,1.0,275,15.3,32,98,0.327,25,81,0.309,12,18,0.667,101,5.6,16,51,67,3.7,49,7,0.4,8,18,3,View Bio
22,"Grumhaus, Tyler 22 Grumhaus, Tyler",17,1.0,182,10.7,22,51,0.431,8,25,0.32,21,26,0.808,73,4.3,10,9,19,1.1,16,15,0.9,24,13,1,View Bio
12,"Balcom, Nathan 12 Balcom, Nathan",18,2.0,247,13.7,19,51,0.373,10,33,0.303,13,20,0.65,61,3.4,18,7,25,1.4,31,31,1.7,12,17,0,View Bio
04,"Boehm, Griffin 04 Boehm, Griffin",18,2.0,265,14.7,17,25,0.68,1,2,0.5,9,20,0.45,44,2.4,42,34,76,4.2,35,13,0.7,6,15,3,View Bio
11,"King, Gus 11 King, Gus",16,10.0,147,9.2,8,25,0.32,8,25,0.32,4,5,0.8,28,1.8,7,3,10,0.6,28,5,0.3,5,11,1,View Bio
24,"Redhead, Andrew 24 Redhead, Andrew",16,9.0,122,7.6,7,11,0.636,0,3,0.0,9,13,0.692,23,1.4,8,8,16,1.0,10,5,0.3,7,6,0,View Bio
44,"Geiman, Brad 44 Geiman, Brad",18,6.0,188,10.4,9,19,0.474,1,2,0.5,2,4,0.5,21,1.2,16,28,44,2.4,24,5,0.3,3,10,16,View Bio
03,"Breshears, Jackson 03 Breshears, Jackson",18,3.0,100,5.6,6,13,0.462,5,12,0.417,3,7,0.429,20,1.1,12,7,19,1.1,15,4,0.2,3,5,1,View Bio
33,"Walser, Morgan 33 Walser, Morgan",18,3.0,141,7.8,13,31,0.419,5,17,0.294,2,3,0.667,33,1.8,8,15,23,1.3,17,17,0.9,15,9,0,View Bio
15,"Jacobson, Noah 15 Jacobson, Noah",17,2.0,81,4.8,9,17,0.529,5,10,0.5,1,2,0.5,24,1.4,5,5,10,0.6,16,1,0.1,10,3,0,View Bio
25,"Leder, Jacob 25 Leder, Jacob",5,1.0,14,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,View Bio
54,"Smith, Tommy 54 Smith, Tommy",3,1.0,12,4.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,2,3,5,1.7,2,0,0.0,1,1,1,View Bio
25,"Conran, Jake 25 Conran, Jake",3,0.0,6,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,1,0.3,0,0,0.0,0,0,0,View Bio
23,"Dubow, Will 23 Dubow, Will",18,0.0,101,5.6,4,8,0.5,0,1,0.0,0,0,0.0,8,0.4,5,18,23,1.3,18,12,0.7,6,15,12,View Bio
25,"Gulve, Anthony 25 Gulve, Anthony",4,0.0,13,3.3,1,2,0.5,1,2,0.5,0,0,0.0,3,0.8,0,1,1,0.3,1,0,0.0,1,0,0,View Bio
42,"Keller, Dawson 42 Keller, Dawson",17,0.0,62,3.6,2,3,0.667,0,0,0.0,0,0,0.0,4,0.2,7,5,12,0.7,12,0,0.0,1,4,6,View Bio
54,"Mickus, Alex 54 Mickus, Alex",2,0.0,3,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,2,2,1.0,0,0,0.0,0,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,51,24,75,4.2,0,0,0.0,3,0,0,
,Total,18,,3625,201.4,591,1423,0.415,308,878,0.351,371,493,0.753,1861,103.39,285,331,616,34.2,432,311,17.3,276,234,60,
,Opponents,18,,3625,201.4,674,1138,0.592,92,213,0.432,366,500,0.732,1806,100.33,201,603,804,44.7,420,433,24.1,475,151,52,
