Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#05 Curta, Vinny",24,252,329,0.766,10.5,13.7
"#13 Johnson, Ky-Sean",23,84,113,0.743,3.7,4.9
"#21 Kogelnik, Hannes",24,36,45,0.8,1.5,1.9
"#02 Phillip, Ikaika",24,29,38,0.763,1.2,1.6
"#22 Grumhaus, Tyler",23,25,31,0.806,1.1,1.3
"#35 Ekstrand, Jacob",24,17,25,0.68,0.7,1.0
"#12 Balcom, Nathan",24,14,21,0.667,0.6,0.9
"#04 Boehm, Griffin",24,13,28,0.464,0.5,1.2
"#45 Cullinane, Sean",24,13,16,0.813,0.5,0.7
"#24 Redhead, Andrew",20,10,15,0.667,0.5,0.8
"#10 Gulve, Anthony",20,9,11,0.818,0.5,0.6
"#44 Geiman, Brad",24,6,17,0.353,0.3,0.7
"#03 Breshears, Jackson",24,4,11,0.364,0.2,0.5
"#42 Keller, Dawson",23,4,7,0.571,0.2,0.3
"#11 King, Gus",18,4,5,0.8,0.2,0.3
"#15 Jacobson, Noah",23,3,4,0.75,0.1,0.2
"#23 Dubow, Will",24,2,2,1.0,0.1,0.1
"#11 Leder, Jacob",9,2,4,0.5,0.2,0.4
"#33 Walser, Morgan",24,2,3,0.667,0.1,0.1
