Name,GP,PF,PF/G
"#05 Curta, Vinny",24,67,2.8
"#35 Ekstrand, Jacob",24,53,2.2
"#13 Johnson, Ky-Sean",23,46,2.0
"#04 Boehm, Griffin",24,42,1.8
"#44 Geiman, Brad",24,37,1.5
"#12 Balcom, Nathan",24,36,1.5
"#02 Phillip, Ikaika",24,35,1.5
"#11 King, Gus",18,31,1.7
"#23 Dubow, Will",24,28,1.2
"#33 Walser, Morgan",24,27,1.1
"#21 Kogelnik, Hannes",24,23,1.0
"#03 Breshears, Jackson",24,22,0.9
"#45 Cullinane, Sean",24,21,0.9
"#10 Gulve, Anthony",20,21,1.1
"#15 Jacobson, Noah",23,20,0.9
"#22 Grumhaus, Tyler",23,19,0.8
"#42 Keller, Dawson",23,15,0.7
"#24 Redhead, Andrew",20,13,0.7
"#54 Smith, Tommy",6,4,0.7
"#25 Conran, Jake",7,3,0.4
"#54 Mickus, Alex",6,3,0.5
"#25 Gulve, Anthony",5,2,0.4
"#11 Leder, Jacob",9,2,0.2
