Statistic,High,Player,Opponent
POINTS,52,Vinny Curta,Kansas Christian College (11/25/17)
FIELD GOALS MADE,18,Vinny Curta,Kansas Christian College (11/25/17)
FIELD GOAL ATTEMPTS,32,Vinny Curta,Cornell College (12/06/17)
3 PT FIELD GOALS MADE,15,Sean Cullinane,Lincoln Christian (11/18/17)
3 PT FG ATTEMPTS,22,Hannes Kogelnik,Illinois College (02/03/18)
FREE THROWS MADE,23,Vinny Curta,Central (11/21/17)
FREE THROW ATTEMPTS,26,Vinny Curta,Central (11/21/17)
REBOUNDS,10,Hannes Kogelnik; Griffin Boehm,Emmaus (11/15/17); Nebraska Wesleyan (12/30/17)
ASSISTS,9,Vinny Curta,Lincoln Christian (11/18/17); Illinois College (02/03/18)
STEALS,5,Vinny Curta,Wright State-Lake (11/17/17); Knox (02/13/18)
BLOCKED SHOTS,6,Brad Geiman,Central (11/21/17)
TURNOVERS,7,Vinny Curta; Hannes Kogelnik,Wright State-Lake (11/17/17); Nebraska Wesleyan (12/30/17); Lake Forest (12/02/17)
FOULS,5,Brad Geiman; Jacob Ekstrand; Ky-Sean Johnson; Vinny Curta; Noah Jacobson,Nebraska Wesleyan (12/30/17); Lake Forest (01/12/18); Cornell College (01/24/18); Illinois College (02/03/18); Saint Norbert (02/10/18); Lake Forest (12/02/17); St. Norbert College (01/06/18); Lawrence University (01/27/18); Monmouth (IL) (01/30/18)
