#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
5.0,"Curta, Vinny 05 Curta, Vinny",24,22.0,462,243,497,0.489,47,155,0.303,252,329,0.766,785,32.7
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,3.0,359,113,286,0.395,55,171,0.322,84,113,0.743,365,15.9
21.0,"Kogelnik, Hannes 21 Kogelnik, Hannes",24,2.0,402,110,319,0.345,87,266,0.327,36,45,0.8,343,14.3
45.0,"Cullinane, Sean 45 Cullinane, Sean",24,19.0,405,90,179,0.503,88,173,0.509,13,16,0.813,281,11.7
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",24,2.0,365,47,147,0.32,32,117,0.274,17,25,0.68,143,6.0
2.0,"Phillip, Ikaika 02 Phillip, Ikaika",24,17.0,323,39,85,0.459,20,50,0.4,29,38,0.763,127,5.3
10.0,"Gulve, Anthony 10 Gulve, Anthony",20,3.0,212,35,98,0.357,26,72,0.361,9,11,0.818,105,5.3
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",23,2.0,246,33,70,0.471,15,37,0.405,25,31,0.806,106,4.6
12.0,"Balcom, Nathan 12 Balcom, Nathan",24,2.0,314,26,64,0.406,15,43,0.349,14,21,0.667,81,3.4
44.0,"Geiman, Brad 44 Geiman, Brad",24,10.0,274,25,38,0.658,3,4,0.75,6,17,0.353,59,2.5
33.0,"Walser, Morgan 33 Walser, Morgan",24,5.0,203,19,47,0.404,10,31,0.323,2,3,0.667,50,2.1
4.0,"Boehm, Griffin 04 Boehm, Griffin",24,3.0,354,25,40,0.625,1,6,0.167,13,28,0.464,64,2.7
11.0,"King, Gus 11 King, Gus",18,11.0,162,11,28,0.393,9,26,0.346,4,5,0.8,35,1.9
24.0,"Redhead, Andrew 24 Redhead, Andrew",20,10.0,146,7,14,0.5,0,6,0.0,10,15,0.667,24,1.2
3.0,"Breshears, Jackson 03 Breshears, Jackson",24,5.0,150,7,24,0.292,5,21,0.238,4,11,0.364,23,1.0
15.0,"Jacobson, Noah 15 Jacobson, Noah",23,2.0,111,9,23,0.391,5,13,0.385,3,4,0.75,26,1.1
11.0,"Leder, Jacob 11 Leder, Jacob",9,1.0,33,4,8,0.5,2,4,0.5,2,4,0.5,12,1.3
54.0,"Smith, Tommy 54 Smith, Tommy",6,1.0,17,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0
25.0,"Conran, Jake 25 Conran, Jake",7,0.0,14,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0
23.0,"Dubow, Will 23 Dubow, Will",24,0.0,139,7,16,0.438,0,1,0.0,2,2,1.0,16,0.7
25.0,"Gulve, Anthony 25 Gulve, Anthony",5,0.0,18,1,3,0.333,1,3,0.333,0,0,0.0,3,0.6
10.0,"Jones, Derek 10 Jones, Derek",1,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
42.0,"Keller, Dawson 42 Keller, Dawson",23,0.0,100,6,7,0.857,0,0,0.0,4,7,0.571,16,0.7
54.0,"Mickus, Alex 54 Mickus, Alex",6,0.0,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,24,,4825,857,1997,0.429,421,1199,0.351,529,725,0.73,2664,111.0
,Opponents,24,,4825,919,1617,0.568,129,312,0.413,469,660,0.711,2436,101.5
