Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#05 Curta, Vinny",24,243,497,0.489,10.1,20.7
"#13 Johnson, Ky-Sean",23,113,286,0.395,4.9,12.4
"#21 Kogelnik, Hannes",24,110,319,0.345,4.6,13.3
"#45 Cullinane, Sean",24,90,179,0.503,3.8,7.5
"#35 Ekstrand, Jacob",24,47,147,0.32,2.0,6.1
"#02 Phillip, Ikaika",24,39,85,0.459,1.6,3.5
"#10 Gulve, Anthony",20,35,98,0.357,1.8,4.9
"#22 Grumhaus, Tyler",23,33,70,0.471,1.4,3.0
"#12 Balcom, Nathan",24,26,64,0.406,1.1,2.7
"#04 Boehm, Griffin",24,25,40,0.625,1.0,1.7
"#44 Geiman, Brad",24,25,38,0.658,1.0,1.6
"#33 Walser, Morgan",24,19,47,0.404,0.8,2.0
"#11 King, Gus",18,11,28,0.393,0.6,1.6
"#15 Jacobson, Noah",23,9,23,0.391,0.4,1.0
"#03 Breshears, Jackson",24,7,24,0.292,0.3,1.0
"#23 Dubow, Will",24,7,16,0.438,0.3,0.7
"#24 Redhead, Andrew",20,7,14,0.5,0.4,0.7
"#42 Keller, Dawson",23,6,7,0.857,0.3,0.3
"#11 Leder, Jacob",9,4,8,0.5,0.4,0.9
"#25 Gulve, Anthony",5,1,3,0.333,0.2,0.6
"#25 Conran, Jake",7,0,2,0.0,0.0,0.3
"#54 Smith, Tommy",6,0,2,0.0,0.0,0.3
