Name,GP,TO,TO/G
"#05 Curta, Vinny",24,89,3.7
"#21 Kogelnik, Hannes",24,56,2.3
"#13 Johnson, Ky-Sean",23,44,1.9
"#22 Grumhaus, Tyler",23,26,1.1
"#02 Phillip, Ikaika",24,22,0.9
"#33 Walser, Morgan",24,19,0.8
"#45 Cullinane, Sean",24,17,0.7
"#35 Ekstrand, Jacob",24,16,0.7
"#12 Balcom, Nathan",24,14,0.6
"#10 Gulve, Anthony",20,13,0.7
"#04 Boehm, Griffin",24,12,0.5
"#23 Dubow, Will",24,12,0.5
"#15 Jacobson, Noah",23,10,0.4
"#24 Redhead, Andrew",20,9,0.5
"#44 Geiman, Brad",24,8,0.3
"#03 Breshears, Jackson",24,7,0.3
"#11 King, Gus",18,5,0.3
#TM Team,24,4,0.2
"#42 Keller, Dawson",23,3,0.1
"#54 Smith, Tommy",6,2,0.3
"#25 Conran, Jake",7,1,0.1
"#25 Gulve, Anthony",5,1,0.2
"#11 Leder, Jacob",9,1,0.1
"#54 Mickus, Alex",6,1,0.2
