Name,GP,AST,AST/G
"#05 Curta, Vinny",24,118,4.9
"#21 Kogelnik, Hannes",24,51,2.1
"#13 Johnson, Ky-Sean",23,41,1.8
"#12 Balcom, Nathan",24,38,1.6
"#02 Phillip, Ikaika",24,36,1.5
"#04 Boehm, Griffin",24,21,0.9
"#33 Walser, Morgan",24,20,0.8
"#22 Grumhaus, Tyler",23,19,0.8
"#45 Cullinane, Sean",24,18,0.8
"#10 Gulve, Anthony",20,17,0.9
"#35 Ekstrand, Jacob",24,16,0.7
"#23 Dubow, Will",24,13,0.5
"#44 Geiman, Brad",24,9,0.4
"#03 Breshears, Jackson",24,8,0.3
"#24 Redhead, Andrew",20,7,0.4
"#11 King, Gus",18,6,0.3
"#15 Jacobson, Noah",23,3,0.1
"#54 Mickus, Alex",6,2,0.3
"#25 Conran, Jake",7,1,0.1
"#25 Gulve, Anthony",5,1,0.2
"#42 Keller, Dawson",23,1,0.0
