Name,GP,MIN,MIN/G
"#05 Curta, Vinny",24,462,19.3
"#45 Cullinane, Sean",24,405,16.9
"#21 Kogelnik, Hannes",24,402,16.8
"#35 Ekstrand, Jacob",24,365,15.2
"#13 Johnson, Ky-Sean",23,359,15.6
"#04 Boehm, Griffin",24,354,14.8
"#02 Phillip, Ikaika",24,323,13.5
"#12 Balcom, Nathan",24,314,13.1
"#44 Geiman, Brad",24,274,11.4
"#22 Grumhaus, Tyler",23,246,10.7
"#10 Gulve, Anthony",20,212,10.6
"#33 Walser, Morgan",24,203,8.5
"#11 King, Gus",18,162,9.0
"#03 Breshears, Jackson",24,150,6.3
"#24 Redhead, Andrew",20,146,7.3
"#23 Dubow, Will",24,139,5.8
"#15 Jacobson, Noah",23,111,4.8
"#42 Keller, Dawson",23,100,4.3
"#11 Leder, Jacob",9,33,3.7
"#25 Gulve, Anthony",5,18,3.6
"#54 Smith, Tommy",6,17,2.8
"#54 Mickus, Alex",6,15,2.5
"#25 Conran, Jake",7,14,2.0
"#10 Jones, Derek",1,1,1.0
