Statistic,High,Opponent
POINTS,153,Emmaus (11/15/17); Lincoln Christian (11/18/17)
FIELD GOALS MADE,54,Emmaus (11/15/17)
FIELD GOAL ATTEMPTS,107,Kansas Christian College (11/25/17)
3 PT FIELD GOALS MADE,30,Lincoln Christian (11/18/17)
3 PT FG ATTEMPTS,73,Lincoln Christian (11/18/17)
FREE THROWS MADE,42,Central (11/21/17)
FREE THROW ATTEMPTS,50,Central (11/21/17)
REBOUNDS,63,Kansas Christian College (11/25/17)
ASSISTS,36,Lincoln Christian (11/18/17)
STEALS,21,Kansas Christian College (11/25/17)
BLOCKED SHOTS,8,Knox College (02/07/18)
TURNOVERS,28,Kansas Christian College (11/25/17)
FOULS,33,Saint Norbert (02/10/18)
