#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
05,"Curta, Vinny 05 Curta, Vinny",24,22.0,462,19.3,243,497,0.489,47,155,0.303,252,329,0.766,785,32.7,28,53,81,3.4,67,118,89,56,9,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,3.0,359,15.6,113,286,0.395,55,171,0.322,84,113,0.743,365,15.9,11,17,28,1.2,46,41,44,32,0,View Bio
21,"Kogelnik, Hannes 21 Kogelnik, Hannes",24,2.0,402,16.8,110,319,0.345,87,266,0.327,36,45,0.8,343,14.3,25,24,49,2.0,23,51,56,25,7,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",24,19.0,405,16.9,90,179,0.503,88,173,0.509,13,16,0.813,281,11.7,17,25,42,1.8,21,18,17,15,0,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",24,2.0,365,15.2,47,147,0.32,32,117,0.274,17,25,0.68,143,6.0,27,71,98,4.1,53,16,16,30,4,View Bio
02,"Phillip, Ikaika 02 Phillip, Ikaika",24,17.0,323,13.5,39,85,0.459,20,50,0.4,29,38,0.763,127,5.3,23,35,58,2.4,35,36,22,20,4,View Bio
10,"Gulve, Anthony 10 Gulve, Anthony",20,3.0,212,10.6,35,98,0.357,26,72,0.361,9,11,0.818,105,5.3,15,7,22,1.1,21,17,13,6,0,View Bio
22,"Grumhaus, Tyler 22 Grumhaus, Tyler",23,2.0,246,10.7,33,70,0.471,15,37,0.405,25,31,0.806,106,4.6,15,10,25,1.1,19,19,26,18,1,View Bio
12,"Balcom, Nathan 12 Balcom, Nathan",24,2.0,314,13.1,26,64,0.406,15,43,0.349,14,21,0.667,81,3.4,24,11,35,1.5,36,38,14,18,0,View Bio
04,"Boehm, Griffin 04 Boehm, Griffin",24,3.0,354,14.8,25,40,0.625,1,6,0.167,13,28,0.464,64,2.7,67,54,121,5.0,42,21,12,19,4,View Bio
44,"Geiman, Brad 44 Geiman, Brad",24,10.0,274,11.4,25,38,0.658,3,4,0.75,6,17,0.353,59,2.5,27,42,69,2.9,37,9,8,12,27,View Bio
33,"Walser, Morgan 33 Walser, Morgan",24,5.0,203,8.5,19,47,0.404,10,31,0.323,2,3,0.667,50,2.1,10,19,29,1.2,27,20,19,13,0,View Bio
11,"King, Gus 11 King, Gus",18,11.0,162,9.0,11,28,0.393,9,26,0.346,4,5,0.8,35,1.9,8,3,11,0.6,31,6,5,13,1,View Bio
11,"Leder, Jacob 11 Leder, Jacob",9,1.0,33,3.7,4,8,0.5,2,4,0.5,2,4,0.5,12,1.3,3,1,4,0.4,2,0,1,2,0,View Bio
24,"Redhead, Andrew 24 Redhead, Andrew",20,10.0,146,7.3,7,14,0.5,0,6,0.0,10,15,0.667,24,1.2,11,13,24,1.2,13,7,9,7,0,View Bio
15,"Jacobson, Noah 15 Jacobson, Noah",23,2.0,111,4.8,9,23,0.391,5,13,0.385,3,4,0.75,26,1.1,6,8,14,0.6,20,3,10,8,0,View Bio
03,"Breshears, Jackson 03 Breshears, Jackson",24,5.0,150,6.3,7,24,0.292,5,21,0.238,4,11,0.364,23,1.0,15,9,24,1.0,22,8,7,8,1,View Bio
23,"Dubow, Will 23 Dubow, Will",24,0.0,139,5.8,7,16,0.438,0,1,0.0,2,2,1.0,16,0.7,15,31,46,1.9,28,13,12,20,16,View Bio
42,"Keller, Dawson 42 Keller, Dawson",23,0.0,100,4.3,6,7,0.857,0,0,0.0,4,7,0.571,16,0.7,14,13,27,1.2,15,1,3,5,6,View Bio
25,"Gulve, Anthony 25 Gulve, Anthony",5,0.0,18,3.6,1,3,0.333,1,3,0.333,0,0,0.0,3,0.6,0,2,2,0.4,2,1,1,0,0,View Bio
54,"Smith, Tommy 54 Smith, Tommy",6,1.0,17,2.8,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,2,4,6,1.0,4,0,2,1,1,View Bio
25,"Conran, Jake 25 Conran, Jake",7,0.0,14,2.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,1,3,4,0.6,3,1,1,1,0,View Bio
10,"Jones, Derek 10 Jones, Derek",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
54,"Mickus, Alex 54 Mickus, Alex",6,0.0,15,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2,4,6,1.0,3,2,1,1,0,View Bio
TM,Team  TM Team,24,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,64,41,105,4.4,0,0,4,0,0,
,Total,24,,4825,201.0,857,1997,0.429,421,1199,0.351,529,725,0.73,2664,111.0,430,500,930,38.8,570,446,392,330,81,
,Opponents,24,,4825,201.0,919,1617,0.568,129,312,0.413,469,660,0.711,2436,101.5,306,809,1115,46.5,599,571,671,223,68,
