Name,GP,STL,STL/G
"#05 Curta, Vinny",24,56,2.3
"#13 Johnson, Ky-Sean",23,32,1.4
"#35 Ekstrand, Jacob",24,30,1.3
"#21 Kogelnik, Hannes",24,25,1.0
"#23 Dubow, Will",24,20,0.8
"#02 Phillip, Ikaika",24,20,0.8
"#04 Boehm, Griffin",24,19,0.8
"#12 Balcom, Nathan",24,18,0.8
"#22 Grumhaus, Tyler",23,18,0.8
"#45 Cullinane, Sean",24,15,0.6
"#11 King, Gus",18,13,0.7
"#33 Walser, Morgan",24,13,0.5
"#44 Geiman, Brad",24,12,0.5
"#03 Breshears, Jackson",24,8,0.3
"#15 Jacobson, Noah",23,8,0.3
"#24 Redhead, Andrew",20,7,0.4
"#10 Gulve, Anthony",20,6,0.3
"#42 Keller, Dawson",23,5,0.2
"#11 Leder, Jacob",9,2,0.2
"#25 Conran, Jake",7,1,0.1
"#54 Mickus, Alex",6,1,0.2
"#54 Smith, Tommy",6,1,0.2
