Name,GP,Pts,Pts/G
"#05 Curta, Vinny",24,785,32.7
"#13 Johnson, Ky-Sean",23,365,15.9
"#21 Kogelnik, Hannes",24,343,14.3
"#45 Cullinane, Sean",24,281,11.7
"#35 Ekstrand, Jacob",24,143,6.0
"#02 Phillip, Ikaika",24,127,5.3
"#22 Grumhaus, Tyler",23,106,4.6
"#10 Gulve, Anthony",20,105,5.3
"#12 Balcom, Nathan",24,81,3.4
"#04 Boehm, Griffin",24,64,2.7
"#44 Geiman, Brad",24,59,2.5
"#33 Walser, Morgan",24,50,2.1
"#11 King, Gus",18,35,1.9
"#15 Jacobson, Noah",23,26,1.1
"#24 Redhead, Andrew",20,24,1.2
"#03 Breshears, Jackson",24,23,1.0
"#23 Dubow, Will",24,16,0.7
"#42 Keller, Dawson",23,16,0.7
"#11 Leder, Jacob",9,12,1.3
"#25 Gulve, Anthony",5,3,0.6
