Name,GP,BLK,BLK/G
"#44 Geiman, Brad",24,27,1.1
"#23 Dubow, Will",24,16,0.7
"#05 Curta, Vinny",24,9,0.4
"#21 Kogelnik, Hannes",24,7,0.3
"#42 Keller, Dawson",23,6,0.3
"#04 Boehm, Griffin",24,4,0.2
"#35 Ekstrand, Jacob",24,4,0.2
"#02 Phillip, Ikaika",24,4,0.2
"#03 Breshears, Jackson",24,1,0.0
"#22 Grumhaus, Tyler",23,1,0.0
"#11 King, Gus",18,1,0.1
"#54 Smith, Tommy",6,1,0.2
