Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Emmaus,11/15/17,100-153,L,35-80,0.438,7-23,0.304,23-29,0.793,20,32,52,52.0,26,14,35,1,7,100,100.0
Wright State-Lake,11/17/17,95-128,L,42-77,0.545,6-11,0.545,5-11,0.455,16,25,41,46.5,27,27,35,5,15,95,97.5
Lincoln Christian,11/18/17,115-153,L,42-74,0.568,10-25,0.4,21-31,0.677,15,34,49,47.3,24,25,27,1,6,115,103.3
Central,11/21/17,93-119,L,38-82,0.463,3-11,0.273,14-26,0.538,20,35,55,49.3,33,21,31,0,10,93,100.8
Kansas Christian College,11/25/17,106-147,L,43-83,0.518,4-11,0.364,16-27,0.593,15,35,50,49.4,34,23,44,2,19,106,101.8
Beloit College Men's BBALL,12/01/17,84-102,L,36-64,0.563,4-8,0.5,8-15,0.533,16,32,48,49.2,25,21,34,3,11,84,98.8
Lake Forest,12/02/17,104-91,W,39-64,0.609,14-26,0.538,12-18,0.667,8,35,43,48.3,20,27,24,1,9,104,99.6
Cornell College,12/06/17,114-111,W,41-62,0.661,4-11,0.364,28-36,0.778,9,38,47,48.1,24,25,28,5,6,114,101.4
Lawrence,12/09/17,99-137,L,36-63,0.571,6-12,0.5,21-32,0.656,8,29,37,46.9,35,15,30,1,12,99,101.1
Nebraska Wesleyan,12/30/17,121-103,W,45-83,0.542,7-18,0.389,24-36,0.667,19,45,64,48.6,35,28,24,7,15,121,103.1
Ripon,01/03/18,81-95,L,32-59,0.542,8-19,0.421,9-17,0.529,17,27,44,48.2,16,28,24,2,7,81,101.1
St. Norbert College,01/06/18,97-85,W,31-49,0.633,4-10,0.4,31-36,0.861,9,35,44,47.8,20,19,26,5,4,97,100.8
Lake Forest,01/12/18,93-107,L,38-65,0.585,10-26,0.385,7-12,0.583,9,24,33,46.7,29,29,25,2,5,93,100.2
Beloit,01/13/18,98-106,L,43-68,0.632,5-9,0.556,7-11,0.636,8,33,41,46.3,24,31,31,1,15,98,100.0
Monmouth (IL),01/17/18,84-79,W,26-53,0.491,1-2,0.5,31-37,0.838,13,31,44,46.1,19,14,23,6,8,84,98.9
Ripon College,01/20/18,113-105,W,39-69,0.565,4-15,0.267,31-37,0.838,9,33,42,45.9,22,25,18,3,12,113,99.8
Cornell College,01/24/18,100-104,L,34-62,0.548,7-16,0.438,25-35,0.714,12,34,46,45.9,19,21,32,2,8,100,99.8
Lawrence University,01/27/18,106-99,W (OT),39-65,0.6,7-15,0.467,21-29,0.724,5,41,46,45.9,27,20,24,3,7,106,100.2
Monmouth (IL),01/30/18,107-92,W,41-62,0.661,0-1,0.0,25-35,0.714,13,40,53,46.3,18,33,24,6,10,107,100.5
Illinois College,02/03/18,105-129,L,37-61,0.607,5-13,0.385,26-36,0.722,7,38,45,46.2,27,27,31,3,8,105,100.8
Knox College,02/07/18,107-93,W,41-62,0.661,0-1,0.0,25-30,0.833,13,31,44,46.1,26,32,28,3,9,107,101.0
Saint Norbert,02/10/18,104-94,W,37-66,0.561,0-1,0.0,30-46,0.652,20,42,62,46.8,24,17,22,4,4,104,101.2
Knox,02/13/18,90-115,L,38-66,0.576,2-4,0.5,12-17,0.706,11,35,46,46.8,24,20,32,1,6,90,100.7
Illinois College,02/17/18,120-117,W,46-78,0.59,11-24,0.458,17-21,0.81,14,25,39,46.5,21,29,19,1,10,120,101.5
Grinnell College,,-,,857-1997,0.429,421-1199,0.351,529-725,0.73,430,500,930,38.8,570,446,392,81,330,2664,111.0
Opponents,,-,,919-1617,0.568,129-312,0.413,469-660,0.711,306,809,1115,46.5,599,571,671,68,223,2436,101.5
