Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",FR-1,40:27.36,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Diamond-Berman, Mira",SO-2,40:45.69,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Schaefer, Emma",SR-4,41:02.18,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Barba, Diana",FR-1,42:35.27,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Ford, Sophia",SO-2,43:47.58,Cornell Invitational,"Apr 14, 2023"
