Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2012 (Saturday)",1 pm,Home,Cornell College,,,,"L,39-41",Box Score
"September 8, 2012 (Saturday)",1 pm,Away,Lake Forest,,,,"L,16-20",Box Score
"September 15, 2012 (Saturday)",4 pm,Home,Beloit,,,,"W,38-14",Box Score
"September 29, 2012 (Saturday)",1 pm,Away,Illinois Col.,,,,"L,20-56",Box Score
"October 6, 2012 (Saturday)",1 pm,Home,Carroll (Wis.),,,,"L,6-55",Box Score
"October 13, 2012 (Saturday)",1 pm,Away,St. Norbert,,,,"L,7-79",Box Score
"October 20, 2012 (Saturday)",1 pm,Home,Monmouth (Ill.),,,,"L,28-56",Box Score
"October 27, 2012 (Saturday)",1 pm,Away,Grinnell,,,,"W,24-14",Box Score
"November 3, 2012 (Saturday)",1 pm,Away,Knox,,,,"L,42-63",Box Score
"November 10, 2012 (Saturday)",1 pm,Home,Ripon,,,,"L,55-56",Box Score
