0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Pima,3/20/2014,1,83,+13,10th/12
Prairie Fire Classic,3/28-29/2014,2,85-88=173,+31,40th/54
Wartburg Spring Invitational,"April 11-12, 2014",2,88-84=172,+28,76th/98
Blueboy Invitational,4/18-19/2014,2,97-92=189,+45,44th/59
2014 MWC Men's Golf Championships,"May 1-3, 2014",3,99-89-87=275,+59,t-35th/43
SEASON TOTALS,SEASON TOTALS,10,892 Avg. 89.2,+18,-
