0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Pima,3/20/2014,1,77,+7,t-6th/12
Prairie Fire Classic,3/28-29/2014,2,93-89=182,+40,t-51st/54
Wartburg Spring Invitational,"April 11-12, 2014",2,86-91=177,+33,85th/98
Blueboy Invitational,4/18-19/2014,2,92-100=192,+48,t-49th/59
2014 MWC Men's Golf Championships,"May 1-3, 2014",3,94-86-86=266,+50,31st/43
SEASON TOTALS,SEASON TOTALS,10,894 Avg. 89.4,+18,-
