0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Pima,3/20/2014,1,74,+4,t-2nd/12
Prairie Fire Classic,3/28-29/2014,2,82-77=159,+17,23rd/54
Wartburg Spring Invitational,"April 11-12, 2014",2,77-81=158,+14,t-39th/98
Blueboy Invitational,4/18-19/2014,2,76-87=163,+19,20th/59
2014 MWC Men's Golf Championships,"May 1-3, 2014",3,77-78-81=236,+20,t-4th/43
SEASON TOTALS,SEASON TOTALS,10,790 Avg. 79.0,+7,-
