Statistic,High,Opponent
POINTS,15,Lake Forest College (10/8/2011)
GOALS,5,Lake Forest College (10/8/2011) Beloit College (10/22/2011) Knox College (10/30/2011)
ASSISTS,5,Lake Forest College (10/8/2011)
SHOTS,29,Knox College (10/30/2011)
SHOTS ON GOAL,16,Ripon College (10/29/2011)
SAVES,9,Augsburg College (9/3/2011)
FOULS,14,St. Catherine Univ. (10/2/2011)
CORNER KICKS,9,Knox College (10/30/2011)
