#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
30.0,"Manley, Devon 30Manley, Devon",2,0,35:47,0,0.0,0,0.0,0.0,0.0,0.0,0,0,View Bio
0.0,"Young, Jordan 0Young, Jordan",18,18,1626:06,22,1.22,66,0.75,10.0,6.0,2.0,0,0,View Bio
,Total,18,-,1661:53,22,1.19,66,0.75,10.0,6.0,2.0,0,0,
,Opponents,18,-,1661:53,38,2.06,114,0.75,,,,0,0,
