0,1,2
POINTS,4,Augsburg College (9/3/2011) Lawrence University (9/24/2011) Beloit College (10/22/2011)
GOALS,2,Augsburg College (9/3/2011) Beloit College (10/22/2011)
ASSISTS,3,Lake Forest College (10/8/2011)
SHOTS,5,Cornell College (9/1/2011) Ripon College (10/29/2011) Knox College (10/30/2011)
SHOTS ON GOAL,3,Augsburg College (9/3/2011) Lawrence University (9/24/2011) St. Catherine Univ. (10/2/2011) Lake Forest College (10/8/2011) Illinois College (10/15/2011) Ripon College (10/29/2011) Knox College (10/30/2011)
SAVES,9,Augsburg College (9/3/2011)
