#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
3,"Murphy-Geiss, Patty 3Murphy-Geiss, Patty",14,13,456,7,3,17,23,0.304,14,0.609,0-0,2,1-1,View Bio
12,"Jensen, Sarah 12Jensen, Sarah",18,1,482,4,2,10,13,0.308,10,0.769,0-0,1,0-0,View Bio
15,"Jaeger, Abby 15Jaeger, Abby",18,18,557,2,4,8,27,0.074,15,0.556,0-0,0,0-0,View Bio
17,"Vincent, Kathryn 17Vincent, Kathryn",18,17,522,2,4,8,21,0.095,9,0.429,1-0,0,0-0,View Bio
9,"Koester, Rachael 9Koester, Rachael",17,10,393,2,3,7,20,0.1,6,0.3,0-1,1,0-0,View Bio
10,"Dominguez, Cynthia 10Dominguez, Cynthia",10,8,267,3,0,6,18,0.167,10,0.556,0-0,1,0-0,View Bio
19,"Safter, Hannah 19Safter, Hannah",18,1,439,3,0,6,17,0.176,10,0.588,1-0,0,0-0,View Bio
22,"Silverman, Elle 22Silverman, Elle",18,0,463,2,2,6,13,0.154,7,0.538,0-0,0,0-0,View Bio
18,"Sauerhaft, Julia 18Sauerhaft, Julia",15,3,349,2,1,5,17,0.118,9,0.529,0-0,0,0-0,View Bio
13,"Carter, Becca 13Carter, Becca",18,16,819,2,0,4,11,0.182,4,0.364,1-0,1,0-0,View Bio
21,"Louthan, Kirsten 21Louthan, Kirsten",18,1,442,1,2,4,19,0.053,13,0.684,0-0,1,0-0,View Bio
20,"Sullivan, Morgan 20Sullivan, Morgan",18,14,731,1,2,4,7,0.143,7,1.0,0-0,1,0-0,View Bio
5,"Weinstein, Rachel 5Weinstein, Rachel",17,16,474,2,0,4,20,0.1,15,0.75,0-0,0,0-0,View Bio
14,"Zheng, Pauline 14Zheng, Pauline",14,0,349,2,0,4,3,0.667,3,1.0,0-0,1,0-0,View Bio
6,"Marek, Eden 6Marek, Eden",16,15,631,0,3,3,2,0.0,1,0.5,0-0,0,0-0,View Bio
8,"Shanahan, MacKenzie 8Shanahan, MacKenzie",9,0,60,1,0,2,1,1.0,1,1.0,0-0,0,0-0,View Bio
16,"Sipfle, Nicole 16Sipfle, Nicole",18,18,653,1,0,2,14,0.071,5,0.357,0-0,1,0-0,View Bio
7,"Bayly, Alison 7Bayly, Alison",9,0,93,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
0,"Young, Jordan 0Young, Jordan",18,18,998,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
25,"Bates, Samantha 25Bates, Samantha",10,10,463,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
25,"Fenster, Katie 25Fenster, Katie",2,0,54,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2,"Flores, Amy 2Flores, Amy",2,0,14,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
11,"Hardy, Kathryn 11Hardy, Kathryn",17,16,772,0,0,0,5,0.0,4,0.8,0-1,0,0-0,View Bio
26,"Hodo, Amanda 26Hodo, Amanda",2,0,11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2,"Horn, Lauren 2Horn, Lauren",1,0,8,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2,"Hubler, Brittany 2Hubler, Brittany",1,0,62,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24,"Kubicek, Heather 24Kubicek, Heather",11,1,189,0,0,0,3,0.0,2,0.667,0-0,0,0-0,View Bio
30,"Manley, Devon 30Manley, Devon",2,0,17,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23,"Moore, Allison 23Moore, Allison",2,0,71,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4,"Ulseth, Mary 4Ulseth, Mary",15,2,364,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,0,0.0,0-0,0,0-0,
,Total,18,-,11203,38,28,104,256,0.148,146,0.57,3-2,10,1-1,
,Opponent,18,-,10978,22,16,60,171,0.129,77,0.45,4-1,6,1-1,
