Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2011,at Cornell College,1-2,1,1,3,23,0.043,9,0.391,0-0,0,0-0,1128
9/3/2011,vs Augsburg College,3-2,3,2,8,15,0.2,10,0.667,1-0,1,1-1,943
9/10/2011,vs Univ. of Dubuque,0-1,0,0,0,14,0.0,9,0.643,0-1,0,0-0,1019
9/14/2011,at Coe,1-1,1,0,2,12,0.083,7,0.583,0-0,0,0-0,0
9/17/2011,at Monmouth College,3-0,3,3,9,10,0.3,8,0.8,0-0,1,0-0,0
9/18/2011,vs Central College,1-2,1,0,2,13,0.077,6,0.462,0-0,0,0-0,944
9/24/2011,at Lawrence University,3-2,3,3,9,15,0.2,9,0.6,0-0,1,0-0,0
9/25/2011,at UW-Oshkosh,2-1,2,1,5,6,0.333,0,0.0,0-0,1,0-0,0
10/1/2011,vs St. Norbert College,4-3,4,4,12,14,0.286,8,0.571,0-0,1,0-0,972
10/2/2011,vs St. Catherine Univ.,2-1,2,2,6,21,0.095,11,0.524,1-0,1,0-0,968
10/8/2011,vs Lake Forest College,5-1,5,5,15,10,0.5,8,0.8,0-0,1,0-0,1001
10/15/2011,at Illinois College,0-0,0,0,0,19,0.0,15,0.789,0-1,0,0-0,1194
10/17/2011,at Principia College,0-3,0,0,0,3,0.0,2,0.667,0-0,0,0-0,0
10/22/2011,at Beloit College,5-0,5,3,13,21,0.238,12,0.571,0-0,1,0-0,0
10/23/2011,at Carroll (Wis.),0-2,0,0,0,4,0.0,2,0.5,0-0,0,0-0,991
10/29/2011,vs Ripon College,3-0,3,2,8,23,0.13,16,0.696,0-0,1,0-0,1012
10/30/2011,vs Knox College,5-0,5,2,12,29,0.172,14,0.483,0-0,1,0-0,1031
11/4/2011,at Carroll Univ.,0-1,0,0,0,4,0.0,0,0.0,1-0,0,0-0,0
Total,,38-22,38,28,104,256,0.148,146,0.57,3-2,10,1-1,11203
Opponent,,-,22,16,60,171,0.129,77,0.45,4-1,6,-,10978
