Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2011,Cornell College,1-2,91:53,2,1.96,2,0.5,0,1,0,0,0
9/3/2011,Augsburg College,3-2,90:00,2,1.98,9,0.818,1,0,0,0,0
9/10/2011,Univ. of Dubuque,0-1,90:00,1,1.66,3,0.75,0,1,0,0,0
9/14/2011,Coe,1-1,110:00,1,1.41,5,0.833,0,0,1,0,0
9/17/2011,Monmouth College,3-0,90:00,0,1.14,1,1.0,1,0,0,1,0
9/18/2011,Central College,1-2,90:00,2,1.28,1,0.333,0,1,0,0,0
9/24/2011,Lawrence University,3-2,90:00,2,1.38,3,0.6,1,0,0,0,0
9/25/2011,UW-Oshkosh,2-1,90:00,1,1.33,6,0.857,1,0,0,0,0
10/1/2011,St. Norbert College,4-3,90:00,3,1.51,2,0.4,1,0,0,0,0
10/2/2011,St. Catherine Univ.,2-1,90:00,1,1.46,4,0.8,1,0,0,0,0
10/8/2011,Lake Forest College,5-1,90:00,1,1.42,2,0.667,1,0,0,0,0
10/15/2011,Illinois College,0-0,110:00,0,1.28,5,1.0,0,0,1,1,0
10/17/2011,Principia College,0-3,90:00,3,1.41,8,0.727,0,1,0,0,0
10/22/2011,Beloit College,5-0,90:00,0,1.31,2,1.0,1,0,0,1,0
10/23/2011,Carroll (Wis.),0-2,90:00,2,1.36,6,0.75,0,1,0,0,0
10/29/2011,Ripon College,3-0,90:00,0,1.28,4,1.0,1,0,0,1,0
10/30/2011,Knox College,5-0,90:00,0,1.2,0,0.0,1,0,0,1,0
11/4/2011,Carroll Univ.,0-1,90:00,1,1.19,4,0.8,0,1,0,0,0
Totals,,-,1661,22,1.19,67,0.753,10,6,2,5,0
Opponent,,-,1661:53,38,2.06,114,0.75,6,10,2,-,0
