Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2011,at Cornell College,1-2,1/2,1/1,23/6,9/4,5/2,0/0,0/0
9/3/2011,vs Augsburg College,3-2,3/2,2/4,15/26,10/11,0/6,1/0,0/0
9/10/2011,vs Univ. of Dubuque,0-1,0/1,0/1,14/11,9/4,2/3,0/0,1/0
9/14/2011,at Coe,1-1,1/1,0/1,12/6,7/6,4/1,0/0,0/0
9/17/2011,at Monmouth College,3-0,3/0,3/0,10/5,8/1,3/2,0/0,0/0
9/18/2011,vs Central College,1-2,1/2,0/1,13/6,6/3,7/1,0/0,0/0
9/24/2011,at Lawrence University,3-2,3/2,3/0,15/10,9/5,2/3,0/1,0/0
9/25/2011,at UW-Oshkosh,2-1,2/1,1/1,6/13,0/0,0/8,0/0,0/0
10/1/2011,vs St. Norbert College,4-3,4/3,4/2,14/8,8/5,3/2,0/0,0/0
10/2/2011,vs St. Catherine Univ.,2-1,2/1,2/1,21/9,11/5,3/0,1/1,0/0
10/8/2011,vs Lake Forest College,5-1,5/1,5/0,10/4,8/3,3/0,0/0,0/0
10/15/2011,at Illinois College,0-0,0/0,0/0,19/9,15/5,8/0,0/0,1/1
10/17/2011,at Principia College,0-3,0/3,0/1,3/20,2/11,2/3,0/0,0/0
10/22/2011,at Beloit College,5-0,5/0,3/0,21/5,12/2,8/0,0/0,0/0
10/23/2011,at Carroll (Wis.),0-2,0/2,0/2,4/13,2/8,1/7,0/0,0/0
10/29/2011,vs Ripon College,3-0,3/0,2/0,23/10,16/4,8/2,0/0,0/0
10/30/2011,vs Knox College,5-0,5/0,2/0,29/1,14/0,9/3,0/0,0/0
11/4/2011,at Carroll Univ.,0-1,0/1,0/1,4/9,0/0,1/5,1/2,0/0
Totals,,,38/22,28/16,256/171,146/77,69/48,3/4,2/1
