Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2011,Cornell College,2-1,2,1,5,6,0.333,4,0.667,0-0,1,0-0,1004
9/3/2011,Augsburg College,2-3,2,4,8,26,0.077,11,0.423,0-0,0,0-0,975
9/10/2011,Univ. of Dubuque,1-0,1,1,3,11,0.091,4,0.364,0-0,1,0-0,974
9/14/2011,Coe,1-1,1,1,3,6,0.167,6,1.0,0-0,0,0-0,0
9/17/2011,Monmouth College,0-3,0,0,0,5,0.0,1,0.2,0-0,0,0-0,0
9/18/2011,Central College,2-1,2,1,5,6,0.333,3,0.5,0-0,1,0-0,991
9/24/2011,Lawrence University,2-3,2,0,4,10,0.2,5,0.5,1-0,0,0-0,0
9/25/2011,UW-Oshkosh,1-2,1,1,3,13,0.077,0,0.0,0-0,0,0-0,0
10/1/2011,St. Norbert College,3-4,3,2,8,8,0.375,5,0.625,0-0,0,0-0,956
10/2/2011,St. Catherine Univ.,1-2,1,1,3,9,0.111,5,0.556,1-0,0,0-0,990
10/8/2011,Lake Forest College,1-5,1,0,2,4,0.25,3,0.75,0-0,0,0-0,971
10/15/2011,Illinois College,0-0,0,0,0,9,0.0,5,0.556,0-1,0,0-0,1180
10/17/2011,Principia College,3-0,3,1,7,20,0.15,11,0.55,0-0,1,1-1,0
10/22/2011,Beloit College,0-5,0,0,0,5,0.0,2,0.4,0-0,0,0-0,0
10/23/2011,Carroll (Wis.),2-0,2,2,6,13,0.154,8,0.615,0-0,1,0-0,956
10/29/2011,Ripon College,0-3,0,0,0,10,0.0,4,0.4,0-0,0,0-0,991
10/30/2011,Knox College,0-5,0,0,0,1,0.0,0,0.0,0-0,0,0-0,990
11/4/2011,Carroll Univ.,1-0,1,1,3,9,0.111,0,0.0,2-0,1,0-0,0
Total,,22-38,22,16,60,171,0.129,77,0.45,4-1,6,1-1,10978
Grinnell College,,-,38,28,104,256,0.148,146,0.57,3-2,10,-,11203
