Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,38,22
Goals Per Game G/AVG,2.11,1.22
Shots SH,256,171
Shots Per Game SH/AVG,14.2,9.5
Shots Percentage SH%,0.148,0.129
Shots On Goal SOG,146-256,77-171
Shots On Goal Percentage SOG%,0.570,0.450
Penalties,Penalties,Penalties
Yellow Cards YC,3,4
Red Cards RC,2,1
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,28,16
Saves S,57,110
Fouls F,86,101
Corner Kicks CK,69,48
Penalty Kicks: Goals-Attempts PG-PA,1-1,1-1
